Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Pradorey Gran Reserva,Real Sitio de la Ventosilla (Pradorey),Castilla y León,Ribera del Duero,2009.0,Red,"Tempranillo (95%), Cabernet Sauvignon (3%), Merlot (2%)",15.0,16.0,40.0
Guitián Fermentado en Barrica,Bodegas A Tapada,Galicia,Valdeorras,1998.0,White,Godello (100%),12.0,16.5,13.82
Raimat Cabernet Sauvignon El Molí,Raimat,Cataluña,Costers del Segre,1994.0,Red,Cabernet Sauvignon (100%),13.5,16.0,15.0
Valsacro Tinto Crianza,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (50%), Otras (40%), Mazuelo (10%)",13.0,14.5,18.0
Ruiz Villanueva Maceración Carbónica,Bodega Ecológica Bruno Ruiz,Castilla La Mancha,Otros Castilla La Mancha,1999.0,Red,Tempranillo (100%),12.0,12.5,4.5
Valsacro Blanco FB,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,White,"Viura (90%), Chardonnay (10%)",12.0,10.0,12.0
Lusco,Adega Pazos de Lusco,Galicia,Rías Baixas,1996.0,White,Albariño (100%),13.0,17.0,7.0
Bodega Pirineos Merlot-Cabernet,Bodega Pirineos,Aragón,Somontano,1998.0,Red,"Merlot, Cabernet Sauvignon",13.5,15.5,6.61
Guitián Merenzao,Bodegas A Tapada,Galicia,Valdeorras,1999.0,White,Merenzao (100%),12.0,13.5,8.41
Fontal Crianza,Bodegas Fontana,Castilla La Mancha,La Mancha,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,13.5,5.41
Cosme Palacio y Hermanos,Bodegas Palacio,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,13.0,11.42
Faustino de Crianza,Bodegas Faustino,La Rioja (España),Rioja,1996.0,Red,"Graciano (5%), Cencibel (4%)",13.0,12.0,6.61
Calzadilla Syrah,Bodega y Viñedos Uribes Madero,Castilla La Mancha,Otros Castilla La Mancha,1997.0,Red,Syrah (100%),13.0,12.0,7.2
L'Alzinar Ull de Llebre Crianza,Vins El Cep,Cataluña,Penedès,1998.0,Red,"Ull de Llebre (90%), Cabernet Sauvignon (10%)",12.5,12.0,6.0
Fontal Joven,Bodegas Fontana,Castilla La Mancha,La Mancha,1998.0,Red,Cencibel (100%),12.5,11.5,4.51
Montesierra Macabeo,Bodega Pirineos,Aragón,Somontano,1999.0,White,Macabeo (100%),13.0,10.0,3.46
Gramona Pinot Noir rosado,Gramona,Cataluña,Penedès,1999.0,Rose,Pinot Noir (100%),11.5,12.5,9.0
Doña Beatriz,Bodegas Cerrosol,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,3.75
Oro de Castilla Verdejo,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.5,3.6
Oro de Castilla Sauvignon,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,3.91
José Pariente,Bodegas José Pariente,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.0,4.81
Mantel Blanco,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Otras (100%),12.0,13.0,4.06
Mantel Blanco Sauvignon Blanc,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,12.0,4.66
Palacio de Bornos,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,4.15
Bornos Sauvignon Blanc,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.5,5.95
Palacio de Menade Sauvignon Blanc,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,5.95
Palacio de Menade,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,11.5,4.15
Marqués de Riscal Reserva Limousin,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,1996.0,White,Verdejo (100%),12.5,15.0,9.92
Oro de Castilla Fermentado en Barrica,Bodega Hermanos del Villar,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,14.5,6.61
Castelo NobleFermentado en Barrica,Bodegas Castelo de Medina,Castilla y León,Rueda,1999.0,White,Otras (%),12.5,14.0,6.31
Palacio de Bornos Verdejo F.B.,Bodegas Palacio de Bornos,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,13.0,5.95
Mantel BlancoFermentado en Barrica,Álvarez y Díez,Castilla y León,Rueda,1998.0,White,Verdejo (100%),13.0,12.0,6.6
Caus Lubis Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Merlot (100%),13.0,14.0,40.5
FuentespinaTinto Reserva,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.0,12.5,12.0
Gran Caus Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Otras (%),13.0,15.5,14.85
La Ribera de Castilla Tinto Crianza,Bodegas Cerrosol,Castilla y León,Otros Castilla y León,1996.0,Red,Tempranillo (100%),13.0,12.5,5.25
Protos Reserva,Bodegas Protos,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.5,16.0,16.85
Fuentespina Tinto Crianza,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1997.0,Red,Tempranillo (100%),13.0,13.5,8.7
Valdemoya Tinto Crianza,Hijos de Alberto Gutiérrez,Castilla y León,Otros Castilla y León,1997.0,Red,"Cabernet Sauvignon (50%), Tempranillo (50%)",13.0,14.5,3.5
Viña Cobranza Tinto Crianza,Bodegas Mocén,Castilla y León,Otros Castilla y León,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,14.0,4.8
Elías Mora Tinto Crianza,Bodegas Elías Mora,Castilla y León,Otros Castilla y León,1998.0,Red,Tempranillo (100%),13.0,14.5,10.2
L'AngeletTinto Crianza,Bodegas Palmera,Comunidad Valenciana,Utiel-Requena,1998.0,Red,Tempranillo (100%),13.0,14.5,9.0
Sotomonte (semicrianza),Bodegas Veracruz (Aldial),Castilla y León,Otros Castilla y León,1998.0,Red,Otras (%),13.0,11.5,3.3
Benengeli,Bodegas Enomar,Castilla La Mancha,La Mancha,1999.0,Red,Tempranillo (100%),12.5,12.0,3.1
Amant,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinta de Toro (100%),13.5,12.5,4.4
Amant Novillo,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinto Fino (100%),13.5,11.5,4.95
Vacceos,Bodega Cuatro Rayas,Castilla y León,Otros Castilla y León,1999.0,Red,Tempranillo (100%),12.5,10.5,2.95
Vega Sauco Tinto crianza,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,"Tinto de Toro (90%), Garnacha (10%)",13.5,11.5,4.4
Pazo de Señorans Selección de Añada,Pazo de Señorans,Galicia,Rías Baixas,1996.0,White,Albariño (100%),12.5,16.0,18.0
Abadía de San Campío,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.5,7.5
Lagar de Cervera,Lagar de Fornelos,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.0,8.4
Pazo San Mauro Albariño (emb. 12-3-00),Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,9.0
Terras Gauda,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,8.4
Pazo San Mauro Condado do Tea,Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,"Albariño (70%), Treixadura (20%), Loureiro (5%), Torrontés (5%)",12.0,13.0,6.0
Viña Ludy,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (60%),11.5,12.5,7.4
Señorío de Sobral,Señorío de Sobral,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.0
Valdumia,Valdumia,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.25
La Val,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.0,7.2
Heretat Vall-Ventós Cabernet Sauvignon,Heretat Vall-Ventós,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.5,9.6
Jaume Serra Cabernet Sauvignon,Jaume Serra,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.0,3.0
Jean Leon Merlot,Jean Leon,Cataluña,Penedès,1997.0,Red,Merlot (100%),13.0,14.5,11.7
Jaume Serra Tempranillo (4 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.5,14.0,3.0
Negre Clàssic Parató,Parató Vinícola,Cataluña,Penedès,1997.0,Red,"Tempranillo (70%), Cabernet Sauvignon (30%)",12.5,14.0,5.85
Heretat Vall-Ventós Viña Bordoy,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Tempranillo (100%),12.0,13.5,5.6
Heretat Vall-Ventós Rosat Primer,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Rose,"Pinot Noir (75%), Merlot (25%)",12.0,12.5,4.5
Jaume Serra Tempranillo (8 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.0,12.5,3.0
Duc de Foix Cabernet,Vinícola del Penedés,Cataluña,Penedès,1995.0,Red,Cabernet Sauvignon (100%),12.5,12.0,5.7
Heretat Vall-Ventós Merlot,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Merlot (100%),12.5,12.0,7.8
Jaume Serra Merlot,Jaume Serra,Cataluña,Penedès,1998.0,Red,Merlot (100%),13.0,12.0,3.0
Jaume Serra Tempranillo Rosado,Jaume Serra,Cataluña,Penedès,1999.0,Rose,Tempranillo (100%),11.5,12.0,1.95
Albet i Noya Pinot Noir-Merlot D'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,Rose,"Merlot (60%), Pinot Noir (40%)",12.5,11.5,4.5
Duc de Foix Rosado,Vinícola del Penedés,Cataluña,Penedès,1999.0,Rose,Cabernet Sauvignon (100%),12.0,11.5,2.7
Mas Florit Gran Selección,"Más Florit, S.A.",Cataluña,Penedès,1996.0,Red,Ull de Llebre (100%),12.0,11.5,4.5
Albet i Noya Xarel·lo d'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,White,"Xarel·lo (90%), Pinot Noir (10%)",12.5,13.0,3.74
Petit Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,1999.0,White,Otras (%),11.5,12.0,3.95
Duc de Foix Blanco joven,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,"Xarel·lo (60%), Macabeo (30%), Parellada (10%)",11.5,11.0,2.4
Heretat Vall-Ventós Chardonnay,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.5,11.0,6.9
Ferret Guasch Xarel.lo,Celler Josep Mª Ferret,Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.5,10.5,3.9
Heretat Vall-Ventós Sauvignon,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Sauvignon Blanc (100%),12.5,10.5,6.9
Heretat Vall-Ventós Chenin,Heretat Vall-Ventós,Cataluña,Penedès,1998.0,White,Chenin Blanc (100%),11.5,10.0,6.9
Heretat Vall-Ventós Pinot Noir,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Pinot Noir (100%),12.5,10.0,7.55
Parató Xarel.lo,Parató Vinícola,Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.5,10.0,3.6
Bodega Pirineos Parraleta,Bodega Pirineos,Aragón,Somontano,1998.0,Red,Parraleta (100%),12.5,16.0,21.65
Casa Castillo Monastrell,Casa Castillo,Murcia,Jumilla,1999.0,Red,"Monastrell (85%), Syrah (15%)",13.7,14.0,5.5
Eudald Massana & Noya Tempranillo,Eudald Massana Noya,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.0,12.0,2.75
Pazo de Barrantes,Bodegas Pazo de Barrantes,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,11.4
Suriol Merlot,Cellers de Can Suriol del Castell,Cataluña,Penedès,1998.0,Red,"Merlot (95%), Pinot Noir (5%)",12.5,11.0,7.2
Azimut Tinto coupage,Cellers de Can Suriol del Castell,Cataluña,Penedès,1999.0,Red,"Tempranillo (60%), Merlot (20%), Pinot Noir (20%)",12.5,11.0,4.2
Duc de Foix Merlot,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Merlot (100%),12.0,10.5,3.9
Valtort Tinto,"Más Florit, S.A.",Cataluña,Penedès,1998.0,Red,Ull de Llebre (100%),12.5,10.0,4.2
Eudald Massana & Noya Cabernet,Eudald Massana Noya,Cataluña,Penedès,1998.0,Red,"Cabernet Sauvignon (80%), Merlot (20%)",12.0,10.0,3.65
Albet i Noya Tempranillo d'Anyada (5 meses de crianza),Albet i Noya,Cataluña,Penedès,1999.0,Red,Tempranillo (100%),12.5,10.0,4.45
Gran Viña Sol,Familia Torres,Cataluña,Penedès,1999.0,White,"Chardonnay (85%), Parellada (15%)",13.0,14.5,7.2
Glorioso Crianza,Bodegas Palacio,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,14.0,6.8
Sangre de Toro,Familia Torres,Cataluña,Otros Cataluña,1998.0,Red,"Garnacha (65%), Cariñena (35%)",13.5,14.0,3.9
Albet i Noya Col·lecció Chardonnay,Albet i Noya,Cataluña,Penedès,1998.0,White,Chardonnay (100%),13.0,13.5,11.65
Duc de Foix Chardonnay,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.0,13.0,3.9
Duc de Foix Xarel·lo,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.0,13.0,3.45
Realeza Cuvée,Hijos de Antonio Barceló (Viña Mayor),Castilla y León,Otros Castilla y León,1998.0,Red,Tempranillo (100%),12.5,13.0,4.6
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,1998.0,White,"Chardonnay (50%), Sauvignon Blanc (50%)",13.0,12.5,5.15
Coronas,Familia Torres,Cataluña,Penedès,1998.0,Red,"Tempranillo (86%), Cabernet Sauvignon (14%)",13.0,12.0,5.6
Jean Leon Petit Chardonnay,Jean Leon,Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.5,11.5,9.0
Albet i Noya Col·lecció Macabeu,Albet i Noya,Cataluña,Penedès,1998.0,White,Macabeo (100%),12.5,11.0,9.0
Jaume Serra Chardonnay,Jaume Serra,Cataluña,Penedès,1999.0,White,Chardonnay (100%),13.0,11.0,3.0
Lan Crianza,Bodegas Lan,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (85%), Garnacha (10%), Mazuelo (5%)",13.0,10.5,8.7
Jean Leon Chardonnay,Jean Leon,Cataluña,Penedès,1998.0,White,Chardonnay (100%),14.0,10.5,15.65
Albet i Noya Col·lecció Xarel·lo,Albet i Noya,Cataluña,Penedès,1997.0,White,Xarel·lo (100%),12.5,10.0,13.45
Gran Sangre de Toro,Familia Torres,Cataluña,Penedès,1996.0,Red,"Garnacha (75%), Cariñena (25%)",14.0,14.0,7.2
Jaume Serra Gran Reserva,Jaume Serra,Cataluña,Penedès,1994.0,Red,"Cabernet Sauvignon (50%), Tempranillo (30%), Merlot (20%)",12.0,13.5,5.4
Gran Coronas Cabernet,Familia Torres,Cataluña,Penedès,1996.0,Red,"Cabernet Sauvignon (85%), Tempranillo (15%)",13.0,13.0,10.05
Jaume Serra Reserva 95,Jaume Serra,Cataluña,Penedès,1995.0,Red,"Cabernet Sauvignon (50%), Merlot (30%), Tempranillo (20%)",12.0,12.0,4.35
Chateldon Cabernet Sauvignon,Bodegas Pinord,Cataluña,Penedès,1996.0,Red,"Cabernet Sauvignon (85%), Merlot (15%)",12.5,11.5,5.98
Jane Ventura Rosado,Jané Ventura,Cataluña,Penedès,1999.0,Rose,"Tempranillo (70%), Cariñena (30%)",11.5,11.0,4.2
Albet i Noya Reserva Martí,Albet i Noya,Cataluña,Penedès,1997.0,Red,"Tempranillo (40%), Cabernet Sauvignon (30%), Merlot (20%), Syrah (8%), Petite Sirah (2%)",13.0,17.0,18.95
Albet i Noya Col·lecció Syrah,Albet i Noya,Cataluña,Penedès,1998.0,Red,Syrah (100%),13.0,16.0,12.7
Albet i Noya Col·lecció Cabernet Sauvignon,Albet i Noya,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),14.0,15.0,12.3
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,1998.0,Red,"Garnacha, Cariñena, Cabernet Sauvignon",13.5,13.0,6.0
Bodegas Palacio Reserva Especial,Bodegas Palacio,La Rioja (España),Rioja,1995.0,Red,Tempranillo (100%),12.5,16.5,34.25
Cosme Palacio y Hermanos Reserva Privada,Bodegas Palacio,La Rioja (España),Rioja,1994.0,Red,Tempranillo (100%),12.0,16.0,15.65
Glorioso Gran Reserva,Bodegas Palacio,La Rioja (España),Rioja,1994.0,Red,Tempranillo (100%),13.0,15.0,17.8
Torres Atrium,Familia Torres,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.5,14.0,7.5
Gran Caus Reserva,Can Ràfols dels Caus,Vinos espumosos,Cava,1997.0,Sparkling,Otras (100%),12.5,14.0,9.2
Suriol Extra Brut,Cellers de Can Suriol del Castell,Vinos espumosos,Cava,1991.0,Sparkling,"Macabeo (35%), Xarel·lo (35%), Parellada (30%)",11.5,13.5,10.2
Glorioso Reserva,Bodegas Palacio,La Rioja (España),Rioja,1996.0,Red,Tempranillo,13.0,13.5,11.55
Renardes,Parató Vinícola,Cataluña,Penedès,1999.0,Red,"Cabernet Sauvignon (60%), Tempranillo (40%)",12.5,13.0,3.3
Ferret Guasch Reserva Brut Nature,Celler Josep Mª Ferret,Vinos espumosos,Cava,1996.0,Sparkling,Otras (100%),11.5,13.0,9.0
Waltraud Riesling,Familia Torres,Cataluña,Penedès,1999.0,White,Riesling (100%),12.5,12.5,8.55
Ferret Guasch Merlot,Celler Josep Mª Ferret,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.0,12.5,5.4
Monte Real,Bodegas Riojanas,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),13.0,14.5,10.8
Puerta Vieja,Bodegas Riojanas,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,13.5,6.0
Monte Real,Bodegas Riojanas,La Rioja (España),Rioja,1994.0,Red,Otras (%),13.0,13.0,18.65
Ijalba Reserva,Viña Ijalba,La Rioja (España),Rioja,1996.0,Red,"Tempranillo (90%), Graciano (10%)",12.5,13.0,13.2
Viña Albina,Bodegas Riojanas,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),12.5,12.5,10.8
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,White,Viura (100%),12.0,12.5,3.0
Florentino Martínez F/Barrica,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,White,"Viura (80%), Malvasia (20%)",12.0,12.5,4.2
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,Red,Tempranillo (100%),12.5,11.0,3.6
Viña Albina F/Barrica,Bodegas Riojanas,La Rioja (España),Rioja,1999.0,White,Viura (100%),12.5,10.5,5.4
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),12.5,10.5,6.0
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,Rose,"Garnacha (65%), Viura (35%)",12.0,10.5,3.0
Coma d'En Pou Bàrbara Forés,Celler Bàrbara Forés,Cataluña,Terra Alta,1997.0,Red,"Garnacha, Cabernet Sauvignon, Syrah",13.5,16.5,15.35
L'Avi Arrufí,Celler Piñol,Cataluña,Terra Alta,1998.0,Red,Otras (%),13.5,15.0,14.4
Nuestra Señora del Portal (tinto),Celler Piñol,Cataluña,Terra Alta,1999.0,Red,"Tempranillo, Cabernet Sauvignon, Garnacha",13.5,14.0,7.2
Llàgrimes de Tardor Blanco,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,White,Garnacha Blanca (100%),14.2,14.0,5.1
Llàgrimes de Tardor Tinto,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1998.0,Red,"Garnacha (57%), Ull de Llebre (31%), Cariñena (6%), Cabernet Sauvignon (6%)",13.6,14.0,5.5
El Quintà Bàrbara Forés,Celler Bàrbara Forés,Cataluña,Terra Alta,1998.0,White,Garnacha Blanca (100%),13.5,14.0,12.0
Varvall Gran Reserva,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1991.0,Red,Garnacha (100%),14.0,13.5,18.05
Vall de Canelles,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1998.0,Red,"Tempranillo, Cariñena, Garnacha",14.0,13.0,6.0
Varvall Cabernet,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1996.0,Red,Cabernet Sauvignon (100%),13.0,12.0,5.4
La Plana d'en Fonoll,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1998.0,White,"Garnacha Blanca (75%), Macabeo (25%)",13.6,12.0,2.65
Viña Orosina Moscatel,Celler Piñol,Cataluña,Terra Alta,1999.0,White,Otras (100%),11.5,11.5,5.4
Vall de Canelles,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1998.0,White,"Garnacha Blanca, Macabeo",14.0,11.5,4.8
Nuestra Señora del Portal (blanco),Celler Piñol,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca, Moscatel, Macabeo",12.5,11.0,4.95
Mirmil.ló,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca, Macabeo",13.0,11.0,2.1
La Plana d'en Fonoll,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,Red,"Garnacha (44%), Syrah (21%), Ull de Llebre (20%), Cariñena (12%), Cabernet Sauvignon (3%)",13.2,11.0,3.6
Garidells,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,White,Garnacha Blanca (100%),13.5,11.0,2.7
Clot D'Encís,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca (70%), Macabeo (30%)",13.2,11.0,1.5
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Rose,"Cariñena (50%), Garnacha (50%)",13.0,11.0,2.1
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,White,"Macabeo (80%), Garnacha Blanca (20%)",13.5,11.0,2.1
Garidells,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Rose,Garnacha (100%),13.0,10.5,2.7
Cèsar Martinell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1995.0,White,Garnacha Blanca (100%),15.0,10.5,2.7
Clot D'Encís,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,Red,"Garnacha (55%), Syrah (21%), Cariñena (10%), Ull de Llebre (10%), Cabernet Sauvignon (4%)",13.0,10.5,2.05
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Red,Cariñena (100%),13.0,10.5,2.1
Florentino de Lecanda Reserva,Florentino de Lecanda,La Rioja (España),Rioja,1994.0,Red,"Tempranillo (80%), Garnacha (20%)",12.5,14.0,15.0
Puelles Reserva,Jesús y Félix Puelles,La Rioja (España),Rioja,1995.0,Red,"Tempranillo (90%), Garnacha (10%)",12.8,13.5,10.8
Florentino de Lecanda Crianza,Florentino de Lecanda,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (80%), Garnacha (20%)",12.5,13.0,7.5
Azpilicueta Crianza,Bodegas Age,La Rioja (España),Rioja,1996.0,Red,"Tempranillo (85%), Graciano (10%), Mazuelo (5%)",12.5,14.5,6.9
Don Jacobo Blanco,Bodegas Corral,La Rioja (España),Rioja,1999.0,White,Viura (100%),12.0,11.0,4.2
Tondeluna,Bodegas Vallemayor,La Rioja (España),Rioja,1999.0,White,Viura (100%),11.5,10.0,3.9
Vila Corona Riesling,Vila Corona Cellers,Cataluña,Costers del Segre,1999.0,White,Riesling (100%),11.5,11.0,3.3
Vila Corona Chardonnay,Vila Corona Cellers,Cataluña,Costers del Segre,1999.0,White,Chardonnay (100%),14.0,11.0,3.0
Viña Olagosa Reserva,Bodegas Perica,La Rioja (España),Rioja,1995.0,Red,"Tempranillo (88%), Garnacha (8%), Mazuelo (4%)",12.5,12.0,9.0
Puerta Vieja,Bodegas Riojanas,La Rioja (España),Rioja,1997.0,Red,Otras (%),12.5,12.0,6.0
Perica Tinto,Bodegas Perica,La Rioja (España),Rioja,1998.0,Red,"Tempranillo (80%), Garnacha (15%), Mazuelo (5%)",12.5,10.5,3.9
Marqués de Griñon Colección Personal,Pagos de Familia Marqués de Griñón,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),13.0,14.0,11.7
Via Aurelia Cabernet Sauvignon-Merlot,Bodegas Concavins,Cataluña,Conca de Barberà,1998.0,Red,"Cabernet Sauvignon (-1%), Merlot (-1%)",13.5,13.0,5.75
Portell Selecció 96,Cooperativa Vinícola de Sarral,Cataluña,Conca de Barberà,1996.0,Red,"Ull de Llebre (85%), Cabernet Sauvignon (15%)",12.5,12.5,4.2
Via Aurelia Merlot,Bodegas Concavins,Cataluña,Conca de Barberà,1998.0,Red,Merlot (100%),13.5,11.5,5.75
Via Aurelia Masia Les Comes,Bodegas Concavins,Cataluña,Conca de Barberà,1998.0,Red,Cabernet Sauvignon (100%),13.0,11.5,9.2
Barono,Vinos Montaner S.C.,Aragón,Otros Aragón,1998.0,Red,"Garnacha (-1%), Cabernet Sauvignon (-1%)",13.5,11.5,4.5
Via Aurelia Viura-Chardonnay,Bodegas Concavins,Cataluña,Conca de Barberà,1999.0,White,"Viura (85%), Chardonnay (15%)",12.5,11.0,2.9
Via Aurelia Tempranillo,Bodegas Concavins,Cataluña,Conca de Barberà,1999.0,Red,"Tempranillo (87%), Cabernet Sauvignon (13%)",12.5,11.0,2.9
Via Aurelia Masia Les Comes,Bodegas Concavins,Cataluña,Conca de Barberà,1996.0,Red,Otras (%),13.0,11.0,9.2
Via Aurelia Cabernet Sauvignon,Bodegas Concavins,Cataluña,Conca de Barberà,1998.0,Red,Cabernet Sauvignon (100%),13.0,10.5,5.75
Portell,Cooperativa Vinícola de Sarral,Cataluña,Conca de Barberà,1998.0,Red,"Tempranillo (-1%), Cabernet Sauvignon (-1%)",12.5,10.5,2.7
Viña San Román,San Román Bodegas y Viñedos,Castilla y León,Toro,1998.0,Red,Tinta de Toro (100%),13.8,18.0,22.4
Viña Bajoz Reserva,Bodega Viña Bajoz,Castilla y León,Toro,1995.0,Red,Tinta de Toro (100%),13.5,15.5,12.0
Marqués de la Villa Reserva,Bodegas Covitoro (S. Coop. Vino de Toro),Castilla y León,Toro,1995.0,Red,Tinta de Toro (100%),13.5,15.5,9.0
Viña Bajoz Crianza,Bodega Viña Bajoz,Castilla y León,Toro,1996.0,Red,Tinta de Toro (100%),13.5,15.0,6.0
Vega Sauco,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,Tinto de Toro (100%),13.5,14.5,4.5
Viña Bajoz,Bodega Viña Bajoz,Castilla y León,Toro,1999.0,Red,Tinta de Toro (100%),13.5,14.0,3.6
Gran Cermeño,Bodegas Covitoro (S. Coop. Vino de Toro),Castilla y León,Toro,1997.0,Red,Tinta de Toro (100%),13.5,14.0,4.35
