Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Thémera Crianza,Bodegas Tierras de Peñafiel,Castilla y León,Ribera del Duero,2013.0,Red,Tempranillo,14.5,13.0,14.5
Vegazar Crianza,Cooperativa San Andrés,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.0,12.5,7.5
Le Rosé de Antídoto,Bodegas Antídoto,Castilla y León,Ribera del Duero,2016.0,Rose,"Tempranillo, Albillo Mayor",13.5,17.0,54.0
Arzuaga Gran Reserva,Bodegas Arzuaga Navarro,Castilla y León,Ribera del Duero,2009.0,Red,Tempranillo,14.0,17.0,58.0
Don Miguel Comenge,Comenge Bodegas y Viñedos,Castilla y León,Ribera del Duero,2011.0,Red,"Tempranillo (90%), Cabernet Sauvignon (10%)",15.0,16.5,24.0
Camino de Magarín Sobre Lías,Bodega del Magarín,Castilla y León,Rueda,2015.0,White,Verdejo,13.5,15.5,16.0
Perlarena,Dominio del Bendito,Unknown,Otros España,2016.0,Rose,"Tempranillo (80%), Syrah (10%), Verdejo (10%)",13.0,15.0,10.0
Abadía Retuerta Le Domaine,Abadía Retuerta,Castilla y León,Otros Castilla y León,2016.0,White,"Sauvignon Blanc (80%), Verdejo (19%), Godello",14.0,15.0,27.0
Vionta Godello,Adegas Pazo das Tapias,Galicia,Monterrei,2016.0,White,Godello,13.0,15.0,9.5
Pazo Señoráns Colección,Pazo de Señorans,Galicia,Rías Baixas,2013.0,White,Albariño,12.5,15.0,15.5
Sela,Bodegas Roda,La Rioja (España),Rioja,2014.0,Red,"Tempranillo (93%), Graciano (5%), Garnacha (2%)",14.0,14.5,15.0
Castelo de Medina,Bodegas Castelo de Medina,Castilla y León,Rueda,2016.0,White,Verdejo,13.5,14.0,6.5
Berroia,Bodegas Berroja,País Vasco,Bizkaiko Txakolina,2015.0,White,Hondarribi Zuri,12.5,13.5,14.0
Fan D. Oro Chardonnay FB,Bodegas Arzuaga Navarro,Unknown,Otros España,2015.0,White,Chardonnay,14.0,13.5,9.5
Pazo Señoráns,Pazo de Señorans,Galicia,Rías Baixas,2016.0,White,Albariño,13.5,13.5,12.0
Martín Berdugo Verdejo,Bodega y Viñedos Martín Berdugo,Castilla y León,Rueda,2016.0,White,Verdejo,14.0,13.0,7.5
Rosae Arzuaga,Bodegas Arzuaga Navarro,Castilla y León,Ribera del Duero,2016.0,Rose,Tempranillo,13.0,13.0,10.0
Agirrebeko,Bodegas Berroja,País Vasco,Bizkaiko Txakolina,2016.0,White,Hondarribi Zuri,12.0,12.5,8.0
R de Bardos Ars Romántica Verdejo,Bodega de Bardos,Castilla y León,Rueda,2016.0,White,Verdejo,13.0,12.5,5.0
Martín Berdugo Rosado,Bodega y Viñedos Martín Berdugo,Castilla y León,Ribera del Duero,2016.0,Rose,Tempranillo,13.5,11.5,8.0
La Calma,Can Ràfols dels Caus,Cataluña,Penedès,2013.0,White,Chenin Blanc,12.5,17.0,30.0
Finca La Serra del Vent,Tomás Cusiné,Cataluña,Costers del Segre,2016.0,White,Chardonnay,13.5,16.5,19.0
Clos d'Agon,Mas Gil,Cataluña,Catalunya,2013.0,White,"Marsanne, Roussane, Viognier",13.5,16.5,36.0
El Rocallís,Can Ràfols dels Caus,Cataluña,Penedès,2013.0,White,Incroccio Manzoni,13.5,16.5,30.0
Meravelles,Sota Els Àngels,Cataluña,Empordà-Costa Brava,2015.0,White,"Garnacha Blanca, Garnacha Gris, Picapoll",13.5,16.0,34.0
Amic Blanc,Mas Gil,Cataluña,Catalunya,2016.0,White,Garnacha Blanca,13.0,16.0,12.0
Clos d'Agon,Mas Gil,Cataluña,Catalunya,2008.0,White,"Marsanne, Roussane, Viognier",14.0,16.0,36.0
Gran Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,2015.0,White,"Xarel·lo (50%), Chenin Blanc (28%), Chardonnay (22%)",13.0,16.0,12.5
Xarel-lo Pairal,Can Ràfols dels Caus,Cataluña,Penedès,2012.0,White,Xarel·lo,12.5,16.0,20.0
Auzells,Tomás Cusiné,Cataluña,Costers del Segre,2016.0,White,"Macabeo, Riesling, Sauvignon Blanc, Albariño, Chardonnay",13.0,15.5,10.5
Nuestra Señora del Portal,Celler Piñol,Cataluña,Terra Alta,2016.0,White,"Garnacha Blanca (85%), Macabeo (5%), Sauvignon Blanc (5%), Viognier (5%)",14.0,15.5,7.0
L'Avi Arrufí Blanco FB,Celler Piñol,Cataluña,Terra Alta,2015.0,White,Garnacha Blanca,14.5,15.5,10.0
Gotim Blanc,Castell del Remei,Cataluña,Costers del Segre,2016.0,White,"Macabeo, Sauvignon Blanc",12.5,15.0,6.5
Sota Els Àngels Blanco,Sota Els Àngels,Cataluña,Empordà-Costa Brava,2015.0,White,"Viognier (67%), Picapoll (33%)",13.5,15.0,24.0
Finca Racons,Tomás Cusiné,Cataluña,Costers del Segre,2015.0,White,Macabeo,14.0,14.5,19.0
Flow Blanco,Sota Els Àngels,Cataluña,Empordà-Costa Brava,2016.0,White,"Mazuelo, Picapoll",12.5,14.5,11.0
Terraprima,Can Ràfols dels Caus,Cataluña,Penedès,2016.0,White,"Xarel·lo, Riesling",12.0,14.5,8.5
Drac Màgic,Tomás Cusiné,Cataluña,Costers del Segre,2016.0,White,"Sauvignon Blanc, Macabeo, Viognier",12.0,14.0,6.5
Oda Blanc,Castell del Remei,Cataluña,Costers del Segre,2015.0,White,"Chardonnay, Macabeo",13.5,14.0,8.5
Petit Caus,Can Ràfols dels Caus,Cataluña,Penedès,2016.0,White,"Xarel·lo, Macabeo, Chardonnay, Moscatel de Alejandría, Chenin Blanc, Parellada",11.5,14.0,6.0
Ekam,Castell d'Encús,Cataluña,Costers del Segre,2016.0,White,"Riesling (85%), Albariño (15%)",11.5,16.5,19.5
Abrisa't,Celler Bàrbara Forés,Cataluña,Terra Alta,2015.0,White,Garnacha Blanca,14.5,16.5,16.5
Can Credo,Celler Credo,Cataluña,Penedès,2014.0,White,Xarel·lo,12.5,16.0,18.5
El Quintà,Celler Bàrbara Forés,Cataluña,Terra Alta,2015.0,White,Garnacha Blanca,14.0,16.0,15.0
Cara Nord,Cara Nord Celler,Cataluña,Conca de Barberà,2016.0,White,"Macabeo (45%), Chardonnay (45%), Trepat (10%)",12.5,15.5,9.5
LaFou Els Amelers,La Fou Celler,Cataluña,Terra Alta,2016.0,White,Garnacha Blanca,13.5,15.5,13.0
L'Equilibrista Xarel-lo,Can Dez Mas,Cataluña,Catalunya,2015.0,White,Xarel·lo,12.5,15.5,13.0
Idoia Blanc,Can Dez Mas,Cataluña,Catalunya,2015.0,White,"Xarel·lo (70%), Garnacha Blanca (12%), Macabeo (12%), Chardonnay (6%)",13.0,15.5,10.0
Jean Léon Vinya Gigi Chardonnay,Jean Leon,Cataluña,Penedès,2015.0,White,Chardonnay,13.5,15.0,20.0
Blanc Bàrbara Forés,Celler Bàrbara Forés,Cataluña,Terra Alta,2016.0,White,Garnacha Blanca,14.5,15.0,7.5
Nutt Xarel-lo,Mas Bertran,Cataluña,Penedès,2016.0,White,Xarel·lo,12.5,15.0,9.0
Taleia,Castell d'Encús,Cataluña,Costers del Segre,2015.0,White,"Sauvignon Blanc (85%), Sémillon (15%)",13.5,14.5,19.5
Ca N'Estruc Xarel-lo,Can Dez Mas,Cataluña,Catalunya,2016.0,White,Xarel·lo,12.5,14.5,5.5
Ca N'Estruc Blanc,Can Dez Mas,Cataluña,Catalunya,2016.0,White,"Xarel·lo, Macabeo, Moscatel de Grano Menudo, Chardonnay",12.5,14.0,4.5
Font Jui,Graham Beck Wines,Cataluña,Penedès,2015.0,White,Xarel·lo,11.5,14.0,12.0
Abadía de Poblet Blanc,Abadía de Poblet (Grupo Codorniu),Cataluña,Conca de Barberà,2015.0,White,"Macabeo, Parellada",13.5,13.5,18.0
Cérvoles Colors,Celler de Cérvoles,Cataluña,Costers del Segre,2016.0,White,"Macabeo (75%), Chardonnay (25%)",13.0,13.5,9.5
Abadal Blanc,Masies d'Avinyó (Abadal),Cataluña,Pla de Bages,2016.0,White,"Chardonnay, Savagnin Blanc, Picapoll, Macabeo",12.0,13.5,7.5
Cérvoles Blanc,Celler de Cérvoles,Cataluña,Costers del Segre,2015.0,White,"Chardonnay (50%), Macabeo (50%)",14.0,13.0,22.0
Barcolobo,Finca La Rinconada,Castilla y León,Otros Castilla y León,2013.0,Red,"Tempranillo (70%), Syrah (20%), Cabernet Sauvignon (10%)",13.0,16.5,15.5
Molí,Raimat,Cataluña,Costers del Segre,2014.0,Red,Cabernet Sauvignon,14.0,16.0,10.5
Maior de Mendoza 3 Crianzas,Maior de Mendoza (Coto de Xiabre),Galicia,Rías Baixas,2015.0,White,Albariño,12.5,15.5,17.0
Torelló Finca Can Martí Brut Reserva,Cavas Torelló,Vinos espumosos,Cava,2011.0,Sparkling,"Chardonnay, Macabeo, Xarel·lo, Parellada",12.0,15.0,17.5
Maior de Mendoza Sobre Lías,Maior de Mendoza (Coto de Xiabre),Galicia,Rías Baixas,2016.0,White,Albariño,13.0,15.0,9.0
Íñigo Amézola Reserva F.B.,Bodegas Amézola de La Mora,La Rioja (España),Rioja,2012.0,White,Macabeo,14.0,15.0,15.0
Ojo de Gallo,A.R. Valdespino (Grupo Estevez),Andalucía,Otros Andalucía,2016.0,White,Palomino Fino,12.0,14.0,7.5
Atlantis,Bodegas Castillo de Maetierra,Galicia,Ribeiro,2016.0,White,Treixadura,12.0,14.0,8.5
Ars Suprema,Bodega de Bardos,Castilla y León,Ribera del Duero,2012.0,Red,Tempranillo,14.5,14.0,31.0
Barcolobo Verdejo,Finca La Rinconada,Castilla y León,Otros Castilla y León,2016.0,White,Verdejo,13.0,14.0,10.5
Pirineos Gewürztraminer,Bodega Pirineos,Aragón,Somontano,2016.0,White,Gewürztraminer,13.0,13.5,8.5
Le Naturel,Aroa Viñedos y Vino Ecológicos,Unknown,Navarra,2016.0,Red,"Garnacha (95%), Merlot (5%)",13.5,13.5,6.5
Fulget,Maior de Mendoza (Coto de Xiabre),Galicia,Rías Baixas,2016.0,White,Albariño,12.5,13.5,8.0
Maior de Mendoza Maceración Carbónica,Maior de Mendoza (Coto de Xiabre),Galicia,Rías Baixas,2016.0,White,Albariño,12.5,13.5,10.0
Boira,Raimat,Cataluña,Catalunya,2015.0,Red,Garnacha,14.5,13.5,8.0
Hacienda López de Haro 30 Años Reserva Ed. Limitada,Bodega Clásica,La Rioja (España),Rioja,2008.0,Red,"Tempranillo, Garnacha",14.5,13.0,29.0
Kyrie,Costers del Siurana,Cataluña,Priorat,2013.0,White,"Garnacha Blanca (35%), Macabeo (30%), Xarel·lo (30%), Moscatel de Alejandría (5%)",13.3,16.5,70.0
Selma de Nin Finca La Sínia,Familia Nin Ortiz,Unknown,Otros España,2013.0,White,"Roussane, Marsanne, Parellada, Chenin Blanc",13.0,16.0,53.0
Fransola,Familia Torres,Cataluña,Penedès,2016.0,White,Sauvignon Blanc,13.5,16.0,22.5
Pedra de Guix,Terroir al Limit,Cataluña,Priorat,2011.0,White,"Garnacha Blanca (34%), Pedro Ximénez (33%), Macabeo (33%)",13.0,16.0,58.0
Terra Vermella Finca Sant Miquel,Familia Nin Ortiz,Unknown,Otros España,2012.0,White,Parellada,12.5,15.5,35.0
Terra de Cuques,Terroir al Limit,Cataluña,Priorat,2015.0,White,"Pedro Ximénez (90%), Moscatel de Alejandría (10%)",13.0,15.5,30.0
Nelin,Clos Mogador,Cataluña,Priorat,2015.0,White,"Garnacha Blanca, Viognier, Pinot Noir, Macabeo, Pedro Ximénez, Marsanne",14.0,15.5,40.0
Cartoixà,Terroir al Limit,Cataluña,Priorat,2016.0,White,Xarel·lo,13.0,15.5,40.0
Cau d'en Genís,Alta Alella,Cataluña,Alella,2016.0,White,Xarel·lo,12.5,15.0,12.5
Sons de Prades,Familia Torres,Cataluña,Conca de Barberà,2015.0,White,Chardonnay,13.5,15.0,25.0
Planetes Vi de Vila Porrera,Familia Nin Ortiz,Cataluña,Priorat,2016.0,White,Mazuelo Blanco,13.0,15.0,28.0
Massipa,Cellers Scala Dei,Cataluña,Priorat,2015.0,White,"Garnacha Blanca (80%), Chenin Blanc (20%)",13.5,15.0,28.0
Terroir Històric Blanc,Terroir al Limit,Cataluña,Priorat,2015.0,White,"Garnacha Blanca (75%), Macabeo (25%)",13.0,15.0,16.0
Muscat Vinum Verum,Terroir al Limit,Cataluña,Priorat,2016.0,White,Moscatel de Alejandría,13.0,15.0,38.0
Lanius,Alta Alella,Cataluña,Alella,2016.0,White,Chardonnay,14.0,14.5,16.5
Benufet,Herencia Altés,Cataluña,Terra Alta,2015.0,White,Garnacha Blanca,14.0,14.5,11.0
Rebels de Batea,7 Magnifics,Cataluña,Terra Alta,2016.0,White,Garnacha Blanca,13.5,14.0,8.5
La Serra Blanc,Herencia Altés,Cataluña,Terra Alta,2014.0,White,Garnacha Blanca,14.5,14.0,18.0
Coma Blanca,Viticultors Mas d'en Gil,Cataluña,Priorat,2014.0,White,"Garnacha Blanca (50%), Macabeo (50%)",15.0,13.5,40.0
Experimental,Herencia Altés,Cataluña,Terra Alta,2016.0,White,Garnacha Blanca,13.5,13.0,20.0
