Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Arrayán Premium,Bodegas Arrayán,Castilla La Mancha,Méntrida,2004.0,Red,"Syrah, Merlot, Petit Verdot, Cabernet Sauvignon",14.0,15.5,30.0,Syrah,4,Mixed
D.Cecilio Syrah,Bodegas La Cerca,Castilla La Mancha,Méntrida,2007.0,Red,Syrah,14.0,14.5,1.8,Syrah,1,Pure
Tres Patas,Canopy,Castilla La Mancha,Méntrida,2006.0,Red,"Garnacha (80%), Syrah (20%)",14.5,14.5,14.0,Garnacha,2,Mixed
Cuñas Davia,Adegas Valdavia,Galicia,Ribeiro,2006.0,White,"Treixadura (80%), Albariño (20%)",13.0,14.0,10.0,Treixadura,2,Mixed
Idrias Merlot,Bodegas Sierra de Guara,Aragón,Somontano,2007.0,Rose,"Merlot, Cabernet Sauvignon",13.0,14.0,7.0,Merlot,2,Mixed
Enebral Verdejo,Liberalia Enológica,Castilla y León,Rueda,2007.0,White,Verdejo,12.5,13.5,5.8,Verdejo,1,Pure
Torresteban crianza,Coop. Sto. Cristo de la Salud,Castilla La Mancha,Méntrida,2004.0,Red,Tempranillo,12.5,13.5,4.5,Tempranillo,1,Pure
Arrayán Cabernet Sauvignon,Bodegas Arrayán,Castilla La Mancha,Méntrida,2004.0,Red,Cabernet Sauvignon,14.0,13.5,16.0,Cabernet,1,Pure
Viña Bispo Sauvignon Blanc-Verdejo,Bodegas Juan González López,Castilla La Mancha,Méntrida,2007.0,White,"Sauvignon Blanc, Verdejo",13.0,13.0,2.9,Sauvignon,2,Mixed
Viña Bispo Crianza,Bodegas Juan González López,Castilla La Mancha,Méntrida,2004.0,Red,"Cabernet Sauvignon, Merlot",14.0,13.0,5.4,Cabernet,2,Mixed
Cuñas Davia,Adegas Valdavia,Galicia,Ribeiro,2007.0,White,"Treixadura (70%), Albariño (10%), Loureiro, Lado, Torrontés",13.0,12.5,7.0,Treixadura,5,Mixed
Peñamonte,Bodegas Torreduero,Castilla y León,Toro,2007.0,Rose,"Tinta de Toro, Garnacha",14.0,12.0,4.5,Tinta,2,Mixed
Novo Bazán Joven,Mas de Bazán,Comunidad Valenciana,Utiel-Requena,2007.0,Red,Bobal,13.0,12.0,4.64,Bobal,1,Pure
Viña Bispo Rosado Garnacha,Bodegas Juan González López,Castilla La Mancha,Méntrida,2007.0,Rose,Garnacha,13.5,11.5,2.2,Garnacha,1,Pure
Arrayán Rosado,Bodegas Arrayán,Castilla La Mancha,Méntrida,2007.0,Rose,"Syrah, Cabernet Sauvignon, Petit Verdot, Merlot",12.0,11.0,7.0,Syrah,4,Mixed
Molino Viejo Tempranillo,Bodegas La Cerca,Castilla La Mancha,Méntrida,2006.0,Red,Tempranillo,14.0,10.5,3.5,Tempranillo,1,Pure
D.Cecilio Rosado,Bodegas La Cerca,Castilla La Mancha,Méntrida,2007.0,Rose,Garnacha,13.5,9.0,1.8,Garnacha,1,Pure
Golán,Bodegas Tampesta,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,13.5,15.0,8.5,Prieto,1,Pure
Cumal,Dominio Dostares,Unknown,Castilla y León,2005.0,Red,Prieto Picudo,14.0,15.0,19.0,Prieto,1,Pure
E Terna Selección,Terna Bodegas,Unknown,Castilla y León,2005.0,Red,Prieto Picudo,14.5,14.5,25.0,Prieto,1,Pure
Pardevalles Gamonal,Hijos de Rafael Alonso (Pardevalles),Unknown,Tierra de León,2006.0,Red,Prieto Picudo,14.5,14.0,6.5,Prieto,1,Pure
Leione,Dominio Dostares,Unknown,Castilla y León,2005.0,Red,Prieto Picudo,13.5,14.0,13.0,Prieto,1,Pure
Peregrino 14 Crianza,Bodegas Gordonzello,Unknown,Tierra de León,2005.0,Red,Prieto Picudo,14.0,14.0,10.0,Prieto,1,Pure
Don Suero Reserva,Bodegas Vinos de León,Unknown,Tierra de León,2000.0,Red,Prieto Picudo,13.0,13.5,13.5,Prieto,1,Pure
Galio Villacezán,Bodegas Villacezán,Unknown,Tierra de León,2006.0,Red,Prieto Picudo,14.0,13.5,12.0,Prieto,1,Pure
