Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Pradorey Gran Reserva,Real Sitio de la Ventosilla (Pradorey),Castilla y León,Ribera del Duero,2009.0,Red,"Tempranillo (95%), Cabernet Sauvignon (3%), Merlot (2%)",15.0,16.0,40.0,Tempranillo,3,Mixed
Guitián Fermentado en Barrica,Bodegas A Tapada,Galicia,Valdeorras,1998.0,White,Godello (100%),12.0,16.5,13.82,Godello,1,Pure
Raimat Cabernet Sauvignon El Molí,Raimat,Cataluña,Costers del Segre,1994.0,Red,Cabernet Sauvignon (100%),13.5,16.0,15.0,Cabernet,1,Pure
Valsacro Tinto Crianza,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (50%), Otras (40%), Mazuelo (10%)",13.0,14.5,18.0,Tempranillo,3,Mixed
Ruiz Villanueva Maceración Carbónica,Bodega Ecológica Bruno Ruiz,Castilla La Mancha,Otros Castilla La Mancha,1999.0,Red,Tempranillo (100%),12.0,12.5,4.5,Tempranillo,1,Pure
Valsacro Blanco FB,Bodegas Valsacro,La Rioja (España),Rioja,1997.0,White,"Viura (90%), Chardonnay (10%)",12.0,10.0,12.0,Viura,2,Mixed
Lusco,Adega Pazos de Lusco,Galicia,Rías Baixas,1996.0,White,Albariño (100%),13.0,17.0,7.0,Albariño,1,Pure
Bodega Pirineos Merlot-Cabernet,Bodega Pirineos,Aragón,Somontano,1998.0,Red,"Merlot, Cabernet Sauvignon",13.5,15.5,6.61,Merlot,2,Mixed
Guitián Merenzao,Bodegas A Tapada,Galicia,Valdeorras,1999.0,White,Merenzao (100%),12.0,13.5,8.41,Merenzao,1,Pure
Fontal Crianza,Bodegas Fontana,Castilla La Mancha,La Mancha,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,13.5,5.41,Tempranillo,2,Mixed
Cosme Palacio y Hermanos,Bodegas Palacio,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,13.0,11.42,Tempranillo,1,Pure
Faustino de Crianza,Bodegas Faustino,La Rioja (España),Rioja,1996.0,Red,"Graciano (5%), Cencibel (4%)",13.0,12.0,6.61,Graciano,2,Mixed
Calzadilla Syrah,Bodega y Viñedos Uribes Madero,Castilla La Mancha,Otros Castilla La Mancha,1997.0,Red,Syrah (100%),13.0,12.0,7.2,Syrah,1,Pure
L'Alzinar Ull de Llebre Crianza,Vins El Cep,Cataluña,Penedès,1998.0,Red,"Ull de Llebre (90%), Cabernet Sauvignon (10%)",12.5,12.0,6.0,Ull,2,Mixed
Fontal Joven,Bodegas Fontana,Castilla La Mancha,La Mancha,1998.0,Red,Cencibel (100%),12.5,11.5,4.51,Cencibel,1,Pure
Montesierra Macabeo,Bodega Pirineos,Aragón,Somontano,1999.0,White,Macabeo (100%),13.0,10.0,3.46,Macabeo,1,Pure
Gramona Pinot Noir rosado,Gramona,Cataluña,Penedès,1999.0,Rose,Pinot Noir (100%),11.5,12.5,9.0,Pinot,1,Pure
Doña Beatriz,Bodegas Cerrosol,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,3.75,Verdejo,1,Pure
Oro de Castilla Verdejo,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.5,3.6,Verdejo,1,Pure
Oro de Castilla Sauvignon,Bodega Hermanos del Villar,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,3.91,Sauvignon,1,Pure
José Pariente,Bodegas José Pariente,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,13.0,4.81,Verdejo,1,Pure
Mantel Blanco,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Otras (100%),12.0,13.0,4.06,Otras,1,Pure
Mantel Blanco Sauvignon Blanc,Álvarez y Díez,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,12.0,4.66,Sauvignon,1,Pure
Palacio de Bornos,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,15.0,4.15,Verdejo,1,Pure
Bornos Sauvignon Blanc,Bodegas Palacio de Bornos,Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.5,5.95,Sauvignon,1,Pure
Palacio de Menade Sauvignon Blanc,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Sauvignon Blanc (100%),12.5,13.0,5.95,Sauvignon,1,Pure
Palacio de Menade,"Cuevas de Castilla, S.A.",Castilla y León,Rueda,1999.0,White,Verdejo (100%),12.5,11.5,4.15,Verdejo,1,Pure
Marqués de Riscal Reserva Limousin,Bodegas de los Herederos del Marqués de Riscal,Castilla y León,Rueda,1996.0,White,Verdejo (100%),12.5,15.0,9.92,Verdejo,1,Pure
Oro de Castilla Fermentado en Barrica,Bodega Hermanos del Villar,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,14.5,6.61,Verdejo,1,Pure
Castelo NobleFermentado en Barrica,Bodegas Castelo de Medina,Castilla y León,Rueda,1999.0,White,Otras (%),12.5,14.0,6.31,Otras,1,Pure
Palacio de Bornos Verdejo F.B.,Bodegas Palacio de Bornos,Castilla y León,Rueda,1998.0,White,Verdejo (100%),12.5,13.0,5.95,Verdejo,1,Pure
Mantel BlancoFermentado en Barrica,Álvarez y Díez,Castilla y León,Rueda,1998.0,White,Verdejo (100%),13.0,12.0,6.6,Verdejo,1,Pure
Caus Lubis Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Merlot (100%),13.0,14.0,40.5,Merlot,1,Pure
FuentespinaTinto Reserva,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.0,12.5,12.0,Tempranillo,1,Pure
Gran Caus Tinto Crianza,Can Ràfols dels Caus,Cataluña,Penedès,1996.0,Red,Otras (%),13.0,15.5,14.85,Otras,1,Pure
La Ribera de Castilla Tinto Crianza,Bodegas Cerrosol,Castilla y León,Otros Castilla y León,1996.0,Red,Tempranillo (100%),13.0,12.5,5.25,Tempranillo,1,Pure
Protos Reserva,Bodegas Protos,Castilla y León,Ribera del Duero,1996.0,Red,Tempranillo (100%),13.5,16.0,16.85,Tempranillo,1,Pure
Fuentespina Tinto Crianza,Bodegas Fuentespina,Castilla y León,Ribera del Duero,1997.0,Red,Tempranillo (100%),13.0,13.5,8.7,Tempranillo,1,Pure
Valdemoya Tinto Crianza,Hijos de Alberto Gutiérrez,Castilla y León,Otros Castilla y León,1997.0,Red,"Cabernet Sauvignon (50%), Tempranillo (50%)",13.0,14.5,3.5,Cabernet,2,Mixed
Viña Cobranza Tinto Crianza,Bodegas Mocén,Castilla y León,Otros Castilla y León,1997.0,Red,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.0,14.0,4.8,Tempranillo,2,Mixed
Elías Mora Tinto Crianza,Bodegas Elías Mora,Castilla y León,Otros Castilla y León,1998.0,Red,Tempranillo (100%),13.0,14.5,10.2,Tempranillo,1,Pure
L'AngeletTinto Crianza,Bodegas Palmera,Comunidad Valenciana,Utiel-Requena,1998.0,Red,Tempranillo (100%),13.0,14.5,9.0,Tempranillo,1,Pure
Sotomonte (semicrianza),Bodegas Veracruz (Aldial),Castilla y León,Otros Castilla y León,1998.0,Red,Otras (%),13.0,11.5,3.3,Otras,1,Pure
Benengeli,Bodegas Enomar,Castilla La Mancha,La Mancha,1999.0,Red,Tempranillo (100%),12.5,12.0,3.1,Tempranillo,1,Pure
Amant,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinta de Toro (100%),13.5,12.5,4.4,Tinta,1,Pure
Amant Novillo,Bodegas Palacio de Bornos,Castilla y León,Toro,1999.0,Red,Tinto Fino (100%),13.5,11.5,4.95,Tinto,1,Pure
Vacceos,Bodega Cuatro Rayas,Castilla y León,Otros Castilla y León,1999.0,Red,Tempranillo (100%),12.5,10.5,2.95,Tempranillo,1,Pure
Vega Sauco Tinto crianza,Bodegas Vega Saúco,Castilla y León,Toro,1999.0,Red,"Tinto de Toro (90%), Garnacha (10%)",13.5,11.5,4.4,Tinto,2,Mixed
Pazo de Señorans Selección de Añada,Pazo de Señorans,Galicia,Rías Baixas,1996.0,White,Albariño (100%),12.5,16.0,18.0,Albariño,1,Pure
Abadía de San Campío,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.5,7.5,Albariño,1,Pure
Lagar de Cervera,Lagar de Fornelos,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,14.0,8.4,Albariño,1,Pure
Pazo San Mauro Albariño (emb. 12-3-00),Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,9.0,Albariño,1,Pure
Terras Gauda,Bodegas Terras Gauda,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,13.5,8.4,Albariño,1,Pure
Pazo San Mauro Condado do Tea,Pazo San Mauro,Galicia,Rías Baixas,1999.0,White,"Albariño (70%), Treixadura (20%), Loureiro (5%), Torrontés (5%)",12.0,13.0,6.0,Albariño,4,Mixed
Viña Ludy,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (60%),11.5,12.5,7.4,Albariño,1,Pure
Señorío de Sobral,Señorío de Sobral,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.0,Albariño,1,Pure
Valdumia,Valdumia,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,6.25,Albariño,1,Pure
La Val,Bodegas La Val,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.0,7.2,Albariño,1,Pure
Heretat Vall-Ventós Cabernet Sauvignon,Heretat Vall-Ventós,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.5,9.6,Cabernet,1,Pure
Jaume Serra Cabernet Sauvignon,Jaume Serra,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),13.0,15.0,3.0,Cabernet,1,Pure
Jean Leon Merlot,Jean Leon,Cataluña,Penedès,1997.0,Red,Merlot (100%),13.0,14.5,11.7,Merlot,1,Pure
Jaume Serra Tempranillo (4 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.5,14.0,3.0,Tempranillo,1,Pure
Negre Clàssic Parató,Parató Vinícola,Cataluña,Penedès,1997.0,Red,"Tempranillo (70%), Cabernet Sauvignon (30%)",12.5,14.0,5.85,Tempranillo,2,Mixed
Heretat Vall-Ventós Viña Bordoy,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Tempranillo (100%),12.0,13.5,5.6,Tempranillo,1,Pure
Heretat Vall-Ventós Rosat Primer,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Rose,"Pinot Noir (75%), Merlot (25%)",12.0,12.5,4.5,Pinot,2,Mixed
Jaume Serra Tempranillo (8 meses barrica),Jaume Serra,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.0,12.5,3.0,Tempranillo,1,Pure
Duc de Foix Cabernet,Vinícola del Penedés,Cataluña,Penedès,1995.0,Red,Cabernet Sauvignon (100%),12.5,12.0,5.7,Cabernet,1,Pure
Heretat Vall-Ventós Merlot,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,Red,Merlot (100%),12.5,12.0,7.8,Merlot,1,Pure
Jaume Serra Merlot,Jaume Serra,Cataluña,Penedès,1998.0,Red,Merlot (100%),13.0,12.0,3.0,Merlot,1,Pure
Jaume Serra Tempranillo Rosado,Jaume Serra,Cataluña,Penedès,1999.0,Rose,Tempranillo (100%),11.5,12.0,1.95,Tempranillo,1,Pure
Albet i Noya Pinot Noir-Merlot D'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,Rose,"Merlot (60%), Pinot Noir (40%)",12.5,11.5,4.5,Merlot,2,Mixed
Duc de Foix Rosado,Vinícola del Penedés,Cataluña,Penedès,1999.0,Rose,Cabernet Sauvignon (100%),12.0,11.5,2.7,Cabernet,1,Pure
Mas Florit Gran Selección,"Más Florit, S.A.",Cataluña,Penedès,1996.0,Red,Ull de Llebre (100%),12.0,11.5,4.5,Ull,1,Pure
Albet i Noya Xarel·lo d'Anyada,Albet i Noya,Cataluña,Penedès,1999.0,White,"Xarel·lo (90%), Pinot Noir (10%)",12.5,13.0,3.74,Xarel,2,Mixed
Petit Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,1999.0,White,Otras (%),11.5,12.0,3.95,Otras,1,Pure
Duc de Foix Blanco joven,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,"Xarel·lo (60%), Macabeo (30%), Parellada (10%)",11.5,11.0,2.4,Xarel,3,Mixed
Heretat Vall-Ventós Chardonnay,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.5,11.0,6.9,Chardonnay,1,Pure
Ferret Guasch Xarel.lo,Celler Josep Mª Ferret,Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.5,10.5,3.9,Xarel,1,Pure
Heretat Vall-Ventós Sauvignon,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Sauvignon Blanc (100%),12.5,10.5,6.9,Sauvignon,1,Pure
Heretat Vall-Ventós Chenin,Heretat Vall-Ventós,Cataluña,Penedès,1998.0,White,Chenin Blanc (100%),11.5,10.0,6.9,Chenin,1,Pure
Heretat Vall-Ventós Pinot Noir,Heretat Vall-Ventós,Cataluña,Penedès,1999.0,White,Pinot Noir (100%),12.5,10.0,7.55,Pinot,1,Pure
Parató Xarel.lo,Parató Vinícola,Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.5,10.0,3.6,Xarel,1,Pure
Bodega Pirineos Parraleta,Bodega Pirineos,Aragón,Somontano,1998.0,Red,Parraleta (100%),12.5,16.0,21.65,Parraleta,1,Pure
Casa Castillo Monastrell,Casa Castillo,Murcia,Jumilla,1999.0,Red,"Monastrell (85%), Syrah (15%)",13.7,14.0,5.5,Monastrell,2,Mixed
Eudald Massana & Noya Tempranillo,Eudald Massana Noya,Cataluña,Penedès,1998.0,Red,Tempranillo (100%),12.0,12.0,2.75,Tempranillo,1,Pure
Pazo de Barrantes,Bodegas Pazo de Barrantes,Galicia,Rías Baixas,1999.0,White,Albariño (100%),12.0,11.5,11.4,Albariño,1,Pure
Suriol Merlot,Cellers de Can Suriol del Castell,Cataluña,Penedès,1998.0,Red,"Merlot (95%), Pinot Noir (5%)",12.5,11.0,7.2,Merlot,2,Mixed
Azimut Tinto coupage,Cellers de Can Suriol del Castell,Cataluña,Penedès,1999.0,Red,"Tempranillo (60%), Merlot (20%), Pinot Noir (20%)",12.5,11.0,4.2,Tempranillo,3,Mixed
Duc de Foix Merlot,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Merlot (100%),12.0,10.5,3.9,Merlot,1,Pure
Valtort Tinto,"Más Florit, S.A.",Cataluña,Penedès,1998.0,Red,Ull de Llebre (100%),12.5,10.0,4.2,Ull,1,Pure
Eudald Massana & Noya Cabernet,Eudald Massana Noya,Cataluña,Penedès,1998.0,Red,"Cabernet Sauvignon (80%), Merlot (20%)",12.0,10.0,3.65,Cabernet,2,Mixed
Albet i Noya Tempranillo d'Anyada (5 meses de crianza),Albet i Noya,Cataluña,Penedès,1999.0,Red,Tempranillo (100%),12.5,10.0,4.45,Tempranillo,1,Pure
Gran Viña Sol,Familia Torres,Cataluña,Penedès,1999.0,White,"Chardonnay (85%), Parellada (15%)",13.0,14.5,7.2,Chardonnay,2,Mixed
Glorioso Crianza,Bodegas Palacio,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,14.0,6.8,Tempranillo,1,Pure
Sangre de Toro,Familia Torres,Cataluña,Otros Cataluña,1998.0,Red,"Garnacha (65%), Cariñena (35%)",13.5,14.0,3.9,Garnacha,2,Mixed
Albet i Noya Col·lecció Chardonnay,Albet i Noya,Cataluña,Penedès,1998.0,White,Chardonnay (100%),13.0,13.5,11.65,Chardonnay,1,Pure
Duc de Foix Chardonnay,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.0,13.0,3.9,Chardonnay,1,Pure
Duc de Foix Xarel·lo,Coop. Vinícola del Penedés (Covides),Cataluña,Penedès,1999.0,White,Xarel·lo (100%),12.0,13.0,3.45,Xarel,1,Pure
Realeza Cuvée,Hijos de Antonio Barceló (Viña Mayor),Castilla y León,Otros Castilla y León,1998.0,Red,Tempranillo (100%),12.5,13.0,4.6,Tempranillo,1,Pure
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,1998.0,White,"Chardonnay (50%), Sauvignon Blanc (50%)",13.0,12.5,5.15,Chardonnay,2,Mixed
Coronas,Familia Torres,Cataluña,Penedès,1998.0,Red,"Tempranillo (86%), Cabernet Sauvignon (14%)",13.0,12.0,5.6,Tempranillo,2,Mixed
Jean Leon Petit Chardonnay,Jean Leon,Cataluña,Penedès,1999.0,White,Chardonnay (100%),12.5,11.5,9.0,Chardonnay,1,Pure
Albet i Noya Col·lecció Macabeu,Albet i Noya,Cataluña,Penedès,1998.0,White,Macabeo (100%),12.5,11.0,9.0,Macabeo,1,Pure
Jaume Serra Chardonnay,Jaume Serra,Cataluña,Penedès,1999.0,White,Chardonnay (100%),13.0,11.0,3.0,Chardonnay,1,Pure
Lan Crianza,Bodegas Lan,La Rioja (España),Rioja,1997.0,Red,"Tempranillo (85%), Garnacha (10%), Mazuelo (5%)",13.0,10.5,8.7,Tempranillo,3,Mixed
Jean Leon Chardonnay,Jean Leon,Cataluña,Penedès,1998.0,White,Chardonnay (100%),14.0,10.5,15.65,Chardonnay,1,Pure
Albet i Noya Col·lecció Xarel·lo,Albet i Noya,Cataluña,Penedès,1997.0,White,Xarel·lo (100%),12.5,10.0,13.45,Xarel,1,Pure
Gran Sangre de Toro,Familia Torres,Cataluña,Penedès,1996.0,Red,"Garnacha (75%), Cariñena (25%)",14.0,14.0,7.2,Garnacha,2,Mixed
Jaume Serra Gran Reserva,Jaume Serra,Cataluña,Penedès,1994.0,Red,"Cabernet Sauvignon (50%), Tempranillo (30%), Merlot (20%)",12.0,13.5,5.4,Cabernet,3,Mixed
Gran Coronas Cabernet,Familia Torres,Cataluña,Penedès,1996.0,Red,"Cabernet Sauvignon (85%), Tempranillo (15%)",13.0,13.0,10.05,Cabernet,2,Mixed
Jaume Serra Reserva 95,Jaume Serra,Cataluña,Penedès,1995.0,Red,"Cabernet Sauvignon (50%), Merlot (30%), Tempranillo (20%)",12.0,12.0,4.35,Cabernet,3,Mixed
Chateldon Cabernet Sauvignon,Bodegas Pinord,Cataluña,Penedès,1996.0,Red,"Cabernet Sauvignon (85%), Merlot (15%)",12.5,11.5,5.98,Cabernet,2,Mixed
Jane Ventura Rosado,Jané Ventura,Cataluña,Penedès,1999.0,Rose,"Tempranillo (70%), Cariñena (30%)",11.5,11.0,4.2,Tempranillo,2,Mixed
Albet i Noya Reserva Martí,Albet i Noya,Cataluña,Penedès,1997.0,Red,"Tempranillo (40%), Cabernet Sauvignon (30%), Merlot (20%), Syrah (8%), Petite Sirah (2%)",13.0,17.0,18.95,Tempranillo,5,Mixed
Albet i Noya Col·lecció Syrah,Albet i Noya,Cataluña,Penedès,1998.0,Red,Syrah (100%),13.0,16.0,12.7,Syrah,1,Pure
Albet i Noya Col·lecció Cabernet Sauvignon,Albet i Noya,Cataluña,Penedès,1998.0,Red,Cabernet Sauvignon (100%),14.0,15.0,12.3,Cabernet,1,Pure
Albet i Noya Lignum,Albet i Noya,Cataluña,Penedès,1998.0,Red,"Garnacha, Cariñena, Cabernet Sauvignon",13.5,13.0,6.0,Garnacha,3,Mixed
Bodegas Palacio Reserva Especial,Bodegas Palacio,La Rioja (España),Rioja,1995.0,Red,Tempranillo (100%),12.5,16.5,34.25,Tempranillo,1,Pure
Cosme Palacio y Hermanos Reserva Privada,Bodegas Palacio,La Rioja (España),Rioja,1994.0,Red,Tempranillo (100%),12.0,16.0,15.65,Tempranillo,1,Pure
Glorioso Gran Reserva,Bodegas Palacio,La Rioja (España),Rioja,1994.0,Red,Tempranillo (100%),13.0,15.0,17.8,Tempranillo,1,Pure
Torres Atrium,Familia Torres,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.5,14.0,7.5,Merlot,1,Pure
Gran Caus Reserva,Can Ràfols dels Caus,Vinos espumosos,Cava,1997.0,Sparkling,Otras (100%),12.5,14.0,9.2,Otras,1,Pure
Suriol Extra Brut,Cellers de Can Suriol del Castell,Vinos espumosos,Cava,1991.0,Sparkling,"Macabeo (35%), Xarel·lo (35%), Parellada (30%)",11.5,13.5,10.2,Macabeo,3,Mixed
Glorioso Reserva,Bodegas Palacio,La Rioja (España),Rioja,1996.0,Red,Tempranillo,13.0,13.5,11.55,Tempranillo,1,Pure
Renardes,Parató Vinícola,Cataluña,Penedès,1999.0,Red,"Cabernet Sauvignon (60%), Tempranillo (40%)",12.5,13.0,3.3,Cabernet,2,Mixed
Ferret Guasch Reserva Brut Nature,Celler Josep Mª Ferret,Vinos espumosos,Cava,1996.0,Sparkling,Otras (100%),11.5,13.0,9.0,Otras,1,Pure
Waltraud Riesling,Familia Torres,Cataluña,Penedès,1999.0,White,Riesling (100%),12.5,12.5,8.55,Riesling,1,Pure
Ferret Guasch Merlot,Celler Josep Mª Ferret,Cataluña,Penedès,1999.0,Red,Merlot (100%),13.0,12.5,5.4,Merlot,1,Pure
Monte Real,Bodegas Riojanas,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),13.0,14.5,10.8,Tempranillo,1,Pure
Puerta Vieja,Bodegas Riojanas,La Rioja (España),Rioja,1997.0,Red,Tempranillo (100%),12.5,13.5,6.0,Tempranillo,1,Pure
Monte Real,Bodegas Riojanas,La Rioja (España),Rioja,1994.0,Red,Otras (%),13.0,13.0,18.65,Otras,1,Pure
Ijalba Reserva,Viña Ijalba,La Rioja (España),Rioja,1996.0,Red,"Tempranillo (90%), Graciano (10%)",12.5,13.0,13.2,Tempranillo,2,Mixed
Viña Albina,Bodegas Riojanas,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),12.5,12.5,10.8,Tempranillo,1,Pure
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,White,Viura (100%),12.0,12.5,3.0,Viura,1,Pure
Florentino Martínez F/Barrica,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,White,"Viura (80%), Malvasia (20%)",12.0,12.5,4.2,Viura,2,Mixed
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,Red,Tempranillo (100%),12.5,11.0,3.6,Tempranillo,1,Pure
Viña Albina F/Barrica,Bodegas Riojanas,La Rioja (España),Rioja,1999.0,White,Viura (100%),12.5,10.5,5.4,Viura,1,Pure
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1996.0,Red,Tempranillo (100%),12.5,10.5,6.0,Tempranillo,1,Pure
Florentino Martínez,Florentino Martínez Rubio,La Rioja (España),Rioja,1999.0,Rose,"Garnacha (65%), Viura (35%)",12.0,10.5,3.0,Garnacha,2,Mixed
Coma d'En Pou Bàrbara Forés,Celler Bàrbara Forés,Cataluña,Terra Alta,1997.0,Red,"Garnacha, Cabernet Sauvignon, Syrah",13.5,16.5,15.35,Garnacha,3,Mixed
L'Avi Arrufí,Celler Piñol,Cataluña,Terra Alta,1998.0,Red,Otras (%),13.5,15.0,14.4,Otras,1,Pure
Nuestra Señora del Portal (tinto),Celler Piñol,Cataluña,Terra Alta,1999.0,Red,"Tempranillo, Cabernet Sauvignon, Garnacha",13.5,14.0,7.2,Tempranillo,3,Mixed
Llàgrimes de Tardor Blanco,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,White,Garnacha Blanca (100%),14.2,14.0,5.1,Garnacha,1,Pure
Llàgrimes de Tardor Tinto,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1998.0,Red,"Garnacha (57%), Ull de Llebre (31%), Cariñena (6%), Cabernet Sauvignon (6%)",13.6,14.0,5.5,Garnacha,4,Mixed
El Quintà Bàrbara Forés,Celler Bàrbara Forés,Cataluña,Terra Alta,1998.0,White,Garnacha Blanca (100%),13.5,14.0,12.0,Garnacha,1,Pure
Varvall Gran Reserva,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1991.0,Red,Garnacha (100%),14.0,13.5,18.05,Garnacha,1,Pure
Vall de Canelles,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1998.0,Red,"Tempranillo, Cariñena, Garnacha",14.0,13.0,6.0,Tempranillo,3,Mixed
Varvall Cabernet,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1996.0,Red,Cabernet Sauvignon (100%),13.0,12.0,5.4,Cabernet,1,Pure
La Plana d'en Fonoll,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1998.0,White,"Garnacha Blanca (75%), Macabeo (25%)",13.6,12.0,2.65,Garnacha,2,Mixed
Viña Orosina Moscatel,Celler Piñol,Cataluña,Terra Alta,1999.0,White,Otras (100%),11.5,11.5,5.4,Otras,1,Pure
Vall de Canelles,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1998.0,White,"Garnacha Blanca, Macabeo",14.0,11.5,4.8,Garnacha,2,Mixed
Nuestra Señora del Portal (blanco),Celler Piñol,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca, Moscatel, Macabeo",12.5,11.0,4.95,Garnacha,3,Mixed
Mirmil.ló,Coop. Agrícola de Corbera d'Ebre,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca, Macabeo",13.0,11.0,2.1,Garnacha,2,Mixed
La Plana d'en Fonoll,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,Red,"Garnacha (44%), Syrah (21%), Ull de Llebre (20%), Cariñena (12%), Cabernet Sauvignon (3%)",13.2,11.0,3.6,Garnacha,5,Mixed
Garidells,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,White,Garnacha Blanca (100%),13.5,11.0,2.7,Garnacha,1,Pure
Clot D'Encís,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,White,"Garnacha Blanca (70%), Macabeo (30%)",13.2,11.0,1.5,Garnacha,2,Mixed
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Rose,"Cariñena (50%), Garnacha (50%)",13.0,11.0,2.1,Cariñena,2,Mixed
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,White,"Macabeo (80%), Garnacha Blanca (20%)",13.5,11.0,2.1,Macabeo,2,Mixed
Garidells,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Rose,Garnacha (100%),13.0,10.5,2.7,Garnacha,1,Pure
Cèsar Martinell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1995.0,White,Garnacha Blanca (100%),15.0,10.5,2.7,Garnacha,1,Pure
Clot D'Encís,Coop. Agrícola Sant Josep de Bot,Cataluña,Terra Alta,1999.0,Red,"Garnacha (55%), Syrah (21%), Cariñena (10%), Ull de Llebre (10%), Cabernet Sauvignon (4%)",13.0,10.5,2.05,Garnacha,5,Mixed
Antic Castell,Celler Cooperatiu Gandesa,Cataluña,Terra Alta,1999.0,Red,Cariñena (100%),13.0,10.5,2.1,Cariñena,1,Pure
Florentino de Lecanda Reserva,Florentino de Lecanda,La Rioja (España),Rioja,1994.0,Red,"Tempranillo (80%), Garnacha (20%)",12.5,14.0,15.0,Tempranillo,2,Mixed
