Wine,Winery,Country,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Valsardo Reserva,Bodegas Valsardo,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (100%),Consumo óptimo: De 2005 a 2011.,16.0,"
Gran"
Dehesa de los Canónigos Solideo Reserva,Bodega Dehesa de los Canónigos,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,13.00,15.0,23.00
Torremilanos Gran Reserva,Bodegas Peñalba López (Torremilanos),España,Castilla y León,Ribera del Duero,1996,Tinto,Tempranillo,13.00,15.0,"
Gran"
Mirat Crianza,Bodegas Valdeviñas,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (100%),14.00,14.5,"
Guin"
Hacienda Monasterio Crianza,Bodegas Hacienda Monasterio,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,14.00,14.0,"
Guin"
Torremilanos Crianza,Bodegas Peñalba López (Torremilanos),España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,13.00,14.0,"
Gran"
Valduero Crianza,Bodegas y Viñedos Valduero,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,13.00,13.5,"
Guin"
Resalte Crianza,Bodegas Resalte de Peñafiel,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,13.50,13.5,16.50
Viña Mayor Reserva,Hijos de Antonio Barceló (Viña Mayor),España,Castilla y León,Ribera del Duero,2000,Tinto,Tinto Fino (100%),13.00,13.5,17.50
Páramo de Guzmán Crianza,Nuestras Cepas,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,13.50,13.0,"
Guin"
Viña Arnaiz Crianza,Viña Arnáiz,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,13.50,13.0,9.81 
Teófilo Reyes Crianza,Bodegas Reyes,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (97%),14.00,13.0,12.00
López Cristobal Crianza,Bodegas López Cristóbal,España,Castilla y León,Ribera del Duero,2002,Tinto,"Tempranillo (90%), Merlot (5%), Cabernet Sauvignon (5%)",13.00,13.0,"
Guin"
Carmelo Rodero Crianza,Bodegas Rodero,España,Castilla y León,Ribera del Duero,2001,Tinto,"Tempranillo, Cabernet Sauvignon",13.50,13.0,14.00
Teófilo Reyes Reserva,Bodegas Reyes,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo (98%),13.50,13.0,23.00
Condado de Haza Reserva,Condado de Haza,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,13.00,13.0,20.51
Fuentespina Crianza,Bodegas Fuentespina,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (100%),13.00,12.5,"
Gran"
Viña Mayor Crianza,Hijos de Antonio Barceló (Viña Mayor),España,Castilla y León,Ribera del Duero,2001,Tinto,Tinto Fino (100%),13.50,12.5,9.50 
Cachopa Crianza,Bodegas Cachopa,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,Consumo óptimo: De 2005 a 2007.,12.5,"
Guin"
Protos Crianza,Bodegas Protos,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,13.00,12.5,11.40
Briego Crianza,Bodegas Briego Albe,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,13.50,12.5,"
Guin"
Valsotillo Crianza,Bodegas Ismael Arroyo,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,14.00,12.5,11.35
Cachopa Reserva,Bodegas Cachopa,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,Consumo óptimo: De 2005 a 2007.,12.5,"
Guin"
Carmelo Rodero Reserva,Bodegas Rodero,España,Castilla y León,Ribera del Duero,2000,Tinto,Tempranillo,14.00,12.5,24.00
Viña Vilano Crianza,Bodegas Viña Vilano,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (100%),13.00,12.0,"
Gran"
Prado Rey Crianza,Real Sitio de la Ventosilla (Pradorey),España,Castilla y León,Ribera del Duero,2001,Tinto,"Tinto Fino (95%), Cabernet Sauvignon (3%), Merlot (2%)",13.50,12.0,11.00
Tionio Crianza,Bodegas Parxet (Ribera del Duero),España,Castilla y León,Ribera del Duero,2001,Tinto,Tinto Fino (100%),13.50,12.0,14.00
Legaris Crianza,Legaris (Grupo Codorniu),España,Castilla y León,Ribera del Duero,2001,Tinto,Tinto Fino (100%),13.50,12.0,"
Guin"
Alidis Crianza,Viña Mambrilla,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,14.50,12.0,"
Guin"
Señorío de Nava Crianza,Bodegas Señorío de Nava,España,Castilla y León,Ribera del Duero,2001,Tinto,Tinto Fino (100%),13.50,11.5,"
Gran"
Arzuaga Crianza,Bodegas Arzuaga Navarro,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,13.50,11.5,12.00
Valdeyuso Crianza,Bodegas Valsardo,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo (100%),13.70,11.0,"
Gran"
Carracedo,Bodega del Abad 2000,España,Castilla y León,Bierzo,2003,Tinto,Mencía (100%),14.00,14.5,29.00
Solar de Sael Crianza,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2001,Tinto,Mencía,14.00,14.0,12.00
Prada a Tope Reserva,Prada A Tope,España,Castilla y León,Bierzo,1997,Tinto,Otras (%),12.00,14.0,12.30
Prada a Tope Gran Reserva,Prada A Tope,España,Castilla y León,Bierzo,1996,Tinto,Mencía,12.00,13.5,20.00
Cabañas Oro Barrica,Vinícola del Bierzo,España,Castilla y León,Bierzo,Tipo:  Tinto,Castas: Mencía,Alcohol: 13.00º,Consumo óptimo: De 2005 a 2007.,13.0,"
Guin"
Tilenus Envejecido en Roble,Bodegas Estefanía,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.00,13.0,8.00 
Casar de Burbia Roble,Casar de Burbia,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.50,13.0,7.42 
Cabañas Oro Reserva,Vinícola del Bierzo,España,Castilla y León,Bierzo,2000,Tinto,Mencía,12.00,13.0,"
Rubí"
Tégvla Crianza,Bodegas y Viñedos Bergidenses (Bod. Antonina Alvarez),España,Castilla y León,Bierzo,2002,Tinto,Mencía,12.00,13.0,"
Rubí"
Tierras de Luna,Bodegas y Viñedos Luna Beberide,España,Castilla y León,Bierzo,2001,Tinto,"Cabernet Sauvignon, Merlot, Tempranillo, Mencía",Consumo óptimo: De 2005 a 2008.,13.0,"
Guin"
Guerra Crianza,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,1998,Tinto,Otras (%),13.00,13.0,"
Gran"
Viña Oro Rosado Mencía,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,2003,Rosado,Mencía,12.00,12.5,"
Piel"
Encomienda Templaria Reserva,Bodegas Godelia,España,Castilla y León,Bierzo,2000,Tinto,Mencía,Consumo óptimo: De 2005 a 2006.,12.5,15.00
Señorío del Bierzo Reserva,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,1997,Tinto,Otras (%),13.00,12.5,"
Rubí"
Palacio de Canedo,Prada A Tope,España,Castilla y León,Bierzo,2003,Rosado,"Mencía, Godello",Consumo óptimo: En 2005.,12.0,4.95 
Abad Dom Bueno Roble,Bodega del Abad 2000,España,Castilla y León,Bierzo,2003,Tinto,Mencía,Consumo óptimo: De 2005 a 2007.,12.0,7.00 
Riocua Roble,Viticultores Bercianos,España,Castilla y León,Bierzo,2000,Tinto,Mencía,Consumo óptimo: De 2005 a 2006.,12.0,8.50 
Baltos,Viñedos y Bodegas Dominio de Tares,España,Castilla y León,Bierzo,2003,Tinto,Otras (%),13.00,12.0,6.00 
Abad Dom Bueno Crianza,Bodega del Abad 2000,España,Castilla y León,Bierzo,2001,Tinto,Mencía,13.00,12.0,11.00
Guerra Roble,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,2002,Tinto,Mencía,12.00,11.5,"
Rubí"
Pétalos del Bierzo,Descendientes de J. Palacios,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.00,11.5,12.50
Pittacum Roble,Viñedos y Bodegas Pittacum,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.00,11.5,"
Guin"
Solar de Sael Roble,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2003,Tinto,Mencía,14.00,11.0,8.50 
Hombros,Casar de Burbia,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.50,11.0,13.00
Cónsules de Roma Crianza,Pérez Caramés,España,Castilla y León,Bierzo,2000,Tinto,Mencía,13.00,11.0,"
Gran"
Casar de Valdaiga Crianza,Pérez Caramés,España,Castilla y León,Bierzo,2000,Tinto,Mencía,13.00,11.0,"
Rubí"
Castro Ventosa Vintage,Bodegas y Viñedos Castro Ventosa,España,Castilla y León,Bierzo,2002,Tinto,Mencía,14.00,11.0,"
Guin"
Hacienda Elsa Rosado,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2003,Rosado,Mencía,12.00,10.0,4.00 
Uttaris Crianza,Bodegas La Serrana,España,Castilla y León,Bierzo,2002,Tinto,Otras (%),13.00,10.0,"
Gran"
Vega Sicilia Único,Bodegas Vega Sicilia,España,Castilla y León,Ribera del Duero,1994,Tinto,Tempranillo,Consumo óptimo: De 2005 a 2010.,18.0,175.0
Aalto PS,Bodegas Aalto,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2006 a 2011.,17.5,60.00
Alión,Bodegas y Viñedos Alión,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2005 a 2011.,17.0,35.00
Dominio de Atauta,Bodegas Dominio de Atauta,España,Castilla y León,Ribera del Duero,2002,Tinto,Otras (%),Consumo óptimo: De 2005 a 2012.,16.5,25.00
Leda Viñas Viejas,Leda Viñas Viejas,España,Castilla y León,Otros Castilla y León,2002,Tinto,Otras (%),Consumo óptimo: De 2006 a 2010.,16.0,36.00
Regina Vides,Bodegas Hnos. Sastre,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2005 a 2011.,16.0,100.0
Valbuena 5º,Bodegas Vega Sicilia,España,Castilla y León,Ribera del Duero,2000,Tinto,Otras (%),Consumo óptimo: De 2005 a 2010.,16.0,75.00
Mauro Vendimia Seleccionada,Bodegas Mauro,España,Castilla y León,Otros Castilla y León,2000,Tinto,Otras (%),Consumo óptimo: De 2006 a 2010.,16.0,55.00
Torresilo,Cillar de Silos,España,Castilla y León,Ribera del Duero,2002,Tinto,Otras (%),Consumo óptimo: De 2006 a 2011.,15.5,27.00
Matallana (muestra),Cía. de Vinos Telmo Rodríguez,España,Castilla y León,Ribera del Duero,2002,Tinto,Tempranillo,Consumo óptimo: De 2006 a 2010.,15.5,68.00
Abadía de San Quirce Finca Helena,Bodegas Imperiales,España,Castilla y León,Ribera del Duero,2001,Tinto,Tempranillo,Consumo óptimo: De 2006 a 2010.,15.5,"
Gran"
Terreus,Bodegas Mauro,España,Castilla y León,Otros Castilla y León,2001,Tinto,Tempranillo,Consumo óptimo: De 2006 a 2011.,15.5,90.00
Astrales,Bodegas Los Astrales,España,Castilla y León,Ribera del Duero,2002,Tinto,Tempranillo,Consumo óptimo: De 2006 a 2010.,15.0,24.00
Matallana,Cía. de Vinos Telmo Rodríguez,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2005 a 2010.,15.0,68.00
Abadía Retuerta Cuvée El Palomar,Abadía Retuerta,España,Castilla y León,Otros Castilla y León,2000,Tinto,"Tempranillo, Cabernet Sauvignon",Consumo óptimo: De 2005 a 2010.,15.0,22.00
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
Quinta Sardonia,Quinta Sardonia,España,Castilla y León,Ribera del Duero,2002,Tinto,"Tempranillo, Otras",Consumo óptimo: De 2005 a 2008.,14.5,30.00
Bagús Vendimia Seleccionada,Bodegas López Cristóbal,España,Castilla y León,Ribera del Duero,2001,Tinto,"Tinto Fino (90%), Merlot (5%), Cabernet Sauvignon (5%)",Consumo óptimo: De 2005 a 2010.,14.5,"
Gran"
Alenza Gran Reserva,Condado de Haza,España,Castilla y León,Ribera del Duero,1999,Tinto,Tempranillo,Consumo óptimo: De 2005 a 2009.,14.5,50.00
Avan Cepas Centenarias,Bodegas y Viñedos Juan Manuel Burgos,España,Castilla y León,Ribera del Duero,2003,Tinto,Otras (%),Consumo óptimo: De 2005 a 2010.,14.0,"
Guin"
Malleolus de Valderramiro,Bodegas Emilio Moro,España,Castilla y León,Ribera del Duero,2002,Tinto,Otras (%),Consumo óptimo: De 2006 a 2010.,14.0,70.00
Valdegatiles,Bodegas Dominio de Atauta,España,Castilla y León,Ribera del Duero,2002,Tinto,Otras (%),Consumo óptimo: De 2006 a 2010.,14.0,"
Guin"
Carmelo Rodero Vendimia Seleccionada,Bodegas Rodero,España,Castilla y León,Ribera del Duero,2001,Blanco,Tempranillo,Consumo óptimo: De 2006 a 2009.,14.0,70.00
VT 2003 Varietal Tinta Fina,Bodegas y Viñedos Valtravieso,España,Castilla y León,Ribera del Duero,2003,Tinto,Tinto Fino,Consumo óptimo: De 2006 a 2010.,13.5,"
Guin"
Abadía Retuerta Pago Negralada,Abadía Retuerta,España,Castilla y León,Otros Castilla y León,2002,Tinto,Tempranillo (100%),Consumo óptimo: De 2005 a 2008.,13.5,46.00
Viña Sastre Pago de Santa Cruz,Bodegas Hnos. Sastre,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2005 a 2010.,13.5,40.50
Pérez Pascuas Gran Selección Gran Reserva,Bodegas Hnos. Pérez Pascuas,España,Castilla y León,Ribera del Duero,1999,Tinto,Tinto Fino,Consumo óptimo: De 2005 a 2006.,13.0,120.0
Abadía Retuerta PV,Abadía Retuerta,España,Castilla y León,Otros Castilla y León,2002,Tinto,Otras (%),Consumo óptimo: De 2006 a 2008.,12.5,90.00
Gran Arzuaga,Bodegas Arzuaga Navarro,España,Castilla y León,Ribera del Duero,2002,Tinto,Otras (%),Consumo óptimo: De 2005 a 2008.,12.0,125.0
Llanos del Almendro,Bodegas Dominio de Atauta,España,Castilla y León,Ribera del Duero,2001,Tinto,Otras (%),Consumo óptimo: De 2005 a 2008.,12.0,"
Gran"
Peíque Selección Familiar,Bodegas Peique,España,Castilla y León,Bierzo,2001,Tinto,Mencía,14.00,16.5,28.00
Valtuille Cepas Centenarias,Bodegas y Viñedos Castro Ventosa,España,Castilla y León,Bierzo,2001,Tinto,Mencía,14.00,16.5,"
Guin"
Villa de Corullón (muestra),Descendientes de J. Palacios,España,Castilla y León,Bierzo,2003,Tinto,Mencía,Consumo óptimo: De 2005 a 2012.,16.0,35.00
Luna Beberide,Bodegas y Viñedos Luna Beberide,España,Castilla y León,Otros Castilla y León,2000,Tinto,"Mencía, Cabernet Sauvignon, Merlot",13.80,16.0,"
Guin"
Tilenus Pagos de Posada Reserva,Bodegas Estefanía,España,Castilla y León,Bierzo,2001,Tinto,Mencía,13.50,16.0,22.00
Bembibre,Viñedos y Bodegas Dominio de Tares,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.80,15.0,20.00
Pittacum Aurea,Viñedos y Bodegas Pittacum,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.50,14.5,"
Guin"
Paixar,Bodegas y Viñedos Paixar,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.50,14.5,"
Guin"
Tares P.3,Viñedos y Bodegas Dominio de Tares,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.80,14.5,40.00
Gran Riocua,Viticultores Bercianos,España,Castilla y León,Bierzo,2001,Tinto,Mencía,13.50,14.0,25.06
Castro Ventosa Joven,Bodegas y Viñedos Castro Ventosa,España,Castilla y León,Bierzo,2004,Tinto,Mencía,13.00,14.0,"
Guin"
Palacio de Canedo Joven,Prada A Tope,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.00,14.0,5.65 
Peíque Selección de Viñedos Viejos,Bodegas Peique,España,Castilla y León,Bierzo,2002,Tinto,Mencía,14.00,13.5,13.00
Viña Garnelo Godello,Bodegas y Viñedos Bergidenses (Bod. Antonina Alvarez),España,Castilla y León,Bierzo,2004,Blanco,Godello,12.50,13.0,"
Amar"
Baloíro,Bodega Luzdivina Amigo,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.50,13.0,"
Guin"
Tebaida,Casar de Burbia,España,Castilla y León,Bierzo,2002,Tinto,Mencía,13.50,13.0,18.76
El Castro de Valtuille,Bodegas y Viñedos Castro Ventosa,España,Castilla y León,Bierzo,2002,Tinto,Mencía,14.00,13.0,"
Gran"
Abad Dom Bueno Godello,Bodega del Abad 2000,España,Castilla y León,Bierzo,2004,Blanco,Godello,13.00,12.5,8.00 
Hacienda Elsa Godello,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2003,Blanco,Godello,12.50,12.0,6.50 
Odorus Godello,Bodegas Godelia,España,Castilla y León,Bierzo,2003,Blanco,Grillo (100%),13.00,12.0,6.00 
Uttaris Joven,Bodegas La Serrana,España,Castilla y León,Bierzo,2004,Tinto,Mencía,Consumo óptimo: De 2005 a 2006.,12.0,"
Guin"
Peíque Joven,Bodegas Peique,España,Castilla y León,Bierzo,2004,Tinto,Mencía,13.50,12.0,4.50 
Casar de Valdaiga Joven,Pérez Caramés,España,Castilla y León,Bierzo,2001,Tinto,Mencía,13.50,12.0,"
Rubí"
Fructus Maceración Carbónica,Bodegas Godelia,España,Castilla y León,Bierzo,2004,Tinto,Mencía,13.50,12.0,6.00 
Palacio de Canedo Godello,Prada A Tope,España,Castilla y León,Bierzo,2003,Blanco,Godello,12.00,11.5,6.50 
Viñademoya,Bodega Luzdivina Amigo,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.50,11.5,"
Guin"
Señorío del Bierzo Godello,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,2003,Blanco,Godello,12.00,11.0,"
Amar"
Viña Oro Tinto Joven,"Vinos del Bierzo, Soc.Coop.",España,Castilla y León,Bierzo,2003,Tinto,Mencía,12.50,11.0,"
Rubí"
Uttaris,Bodegas La Serrana,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.00,11.0,"
Gran"
Hacienda Elsa Tinto Joven,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2003,Tinto,Mencía,13.50,11.0,4.30 
Valderica Tinto Joven,Viñedos y Bodegas Arturo García,España,Castilla y León,Bierzo,2002,Tinto,Mencía,14.00,10.5,2.70 
Cabañas Oro Doña Blanca,Vinícola del Bierzo,España,Castilla y León,Bierzo,Tipo:  Blanco,Castas: Doña Blanca,Alcohol: 12.90º,Consumo óptimo: En 2005.,10.0,"
Amar"
Cabañas Oro Godello,Vinícola del Bierzo,España,Castilla y León,Bierzo,Tipo:  Blanco,Castas: Godello,Alcohol: 12.50º,Consumo óptimo: En 2005.,10.0,"
Amar"
Odorus Godello Fermentado en Barrica,Bodegas Godelia,España,Castilla y León,Bierzo,2003,Blanco,Godello (100%),13.00,10.0,10.00
Care Syrah-Tempranillo Joven,Bodegas Añadas,España,Aragón,Cariñena,2004,Tinto,"Syrah, Tempranillo",13.50,14.5,"
Guin"
Castaño Monastrell Joven,Bodegas Castaño,España,Murcia,Yecla,2004,Tinto,Monastrell (100%),14.00,14.5,"
Guin"
Albada Macabeo,Bodega Virgen de la Sierra,España,Aragón,Calatayud,2004,Blanco,Macabeo,14.00,14.0,"
Amar"
Viña Urbezo Joven,Bodegas Solar de Urbezo,España,Aragón,Cariñena,2004,Tinto,"Garnacha, Tempranillo, Syrah",13.50,14.0,"
Guin"
Olimpo Seco,Vinícola de Castilla,España,Castilla La Mancha,Otros Castilla La Mancha,2004,Blanco,Moscatel de Grano Menudo,13.50,13.5,"
Amar"
Heretat Mas Tinell Chardonnay,Heretat Mas Tinell,España,Cataluña,Penedès,2004,Blanco,Chardonnay,12.50,13.5,"
Amar"
Care Chardonnay,Bodegas Añadas,España,Aragón,Cariñena,2004,Blanco,Chardonnay (100%),13.00,13.5,"
Amar"
De Casta,Familia Torres,España,Cataluña,Catalunya,2004,Rosado,"Garnacha, Mazuelo",13.50,13.5,"
Rosa"
Marqués de Cáceres,Unión Viti-Vinicola (Marqués de Cáceres),España,La Rioja (España),Rioja,2004,Blanco,Viura,12.50,13.0,"
Amar"
L'Alba Mas Tinell Blanc de Lluna,Heretat Mas Tinell,España,Cataluña,Penedès,2004,Blanco,"Chardonnay, Macabeo, Xarel·lo, Parellada",11.30,13.0,"
Amar"
Castaño Macabeo-Chardonnay,Bodegas Castaño,España,Murcia,Yecla,2004,Blanco,"Macabeo (50%), Chardonnay (50%)",13.50,13.0,"
Amar"
Príncipe de Viana Chardonnay,Bodegas Príncipe de Viana,España,N/D,Navarra,2004,Blanco,Chardonnay,12.50,13.0,"
Amar"
Príncipe de Viana Rosado Garnacha,Bodegas Príncipe de Viana,España,N/D,Navarra,2004,Rosado,Garnacha (100%),13.00,13.0,"
Rosa"
Care Cabernet-Merlot,Bodegas Añadas,España,Aragón,Cariñena,2004,Rosado,"Cabernet Sauvignon, Merlot",14.00,13.0,"
Cere"
Monte Don Lucio Joven Cabernet Sauvignon,Finca la Blanca,España,Castilla La Mancha,La Mancha,2004,Tinto,Cabernet Sauvignon (100%),12.00,13.0,"
Gran"
San Valentin Semi-Dulce,Familia Torres,España,Cataluña,Catalunya,2004,Dulce,Parellada,10.50,12.5,"
Amar"
Marqués de Cáceres,Unión Viti-Vinicola (Marqués de Cáceres),España,La Rioja (España),Rioja,2004,Rosado,Tempranillo,13.00,12.5,"
Rosa"
Urbezo Merlot,Bodegas Solar de Urbezo,España,Aragón,Cariñena,2004,Rosado,Merlot (100%),13.00,12.5,"
Cere"
Primvs Tinto Joven,Señorío de Toledo,España,Castilla La Mancha,Otros Castilla La Mancha,2004,Tinto,"Syrah, Merlot, Garnacha",13.50,12.5,"
Guin"
Viña Sol,Familia Torres,España,Cataluña,Penedès,2004,Blanco,Parellada,11.50,12.0,"
Amar"
Condesa de Leganza Cabernet Sauvignon,Bodegas Leganza,España,Castilla La Mancha,La Mancha,2004,Rosado,Cabernet Sauvignon,13.00,12.0,"
Cere"
Nobleza de Barros Merlot Joven,Bodegas Bernarda González Pacheco,España,Extremadura,Ribera del Guadiana,2004,Tinto,Merlot,13.00,12.0,2.50 
Monte Don Lucio Joven Tempranillo,Finca la Blanca,España,Castilla La Mancha,La Mancha,2004,Tinto,Tempranillo,12.00,12.0,"
Guin"
Monte Don Lucio Macabeo,Finca la Blanca,España,Castilla La Mancha,La Mancha,2004,Blanco,Macabeo (100%),11.00,11.5,"
Amar"
Espelt Mareny,Espelt Viticultors,España,Cataluña,Empordà-Costa Brava,2004,Blanco,"Sauvignon Blanc, Muscat",12.00,11.5,"
Amar"
Cueva del Fraile Coupage,Viñedos y Bodegas El Castillo,España,Castilla La Mancha,Otros Castilla La Mancha,2004,Blanco,Otras,13.50,10.5,"
Amar"
Urbezo Chardonnay,Bodegas Solar de Urbezo,España,Aragón,Cariñena,2004,Blanco,Chardonnay,13.00,10.5,"
Amar"
Fortius Selección,Bodegas Valcarlos,España,N/D,Navarra,2004,Rosado,Cabernet Sauvignon (100%),14.00,10.5,"
Fram"
Vino Primero,Bodegas Fariña,España,Castilla y León,Toro,2004,Tinto,Tinta de Toro (100%),13.50,9.0,"
Guin"
Laus Roble,Bodegas Laus,España,Aragón,Somontano,2003,Tinto,Otras,13.50,14.5,"
Gran"
Laus Flor de Chardonnay,Bodegas Laus,España,Aragón,Somontano,2004,Blanco,Chardonnay,13.00,14.0,"
Amar"
Enate Chardonnay 234,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,2004,Blanco,Chardonnay (100%),13.00,14.0,"
Amar"
Enate Gewürztraminer,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,2004,Blanco,Gewürztraminer,13.50,14.0,"
Amar"
Montesierra Tempranillo-Cabernet Joven,Bodega Pirineos,España,Aragón,Somontano,2004,Tinto,"Cabernet Sauvignon, Tempranillo",13.50,14.0,3.36 
Montesierra Tempranillo-Garnacha,Bodega Pirineos,España,Aragón,Somontano,2004,Rosado,"Garnacha, Tempranillo",13.00,13.5,3.36 
Laus Flor de Merlot,Bodegas Laus,España,Aragón,Somontano,2004,Rosado,Merlot,13.50,13.5,"
Rosa"
Pirineos Merlot-Cabernet Rosado,Bodega Pirineos,España,Aragón,Somontano,2004,Rosado,"Merlot, Cabernet Sauvignon",13.50,13.5,5.40 
Montesierra Macabeo-Chardonnay,Bodega Pirineos,España,Aragón,Somontano,2004,Blanco,"Chardonnay, Macabeo",13.00,13.0,3.36 
Pirineos Gewürztraminer,Bodega Pirineos,España,Aragón,Somontano,2004,Blanco,Gewürztraminer,12.50,13.0,"
Amar"
Viña San Marcos Blanco,Bodegas Lalanne,España,Aragón,Somontano,2004,Blanco,Otras,12.00,13.0,"
Amar"
Bestué Tempranillo-Cabernet Sauvignon,Bodega Otto Bestué,España,Aragón,Somontano,2004,Rosado,"Cabernet Sauvignon, Tempranillo",13.50,13.0,"
Rosa"
Olvena Merlot,Bodegas y Viñedos Olvena,España,Aragón,Somontano,2004,Rosado,Merlot (100%),13.50,13.0,5.00 
Enate Rosado,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,2004,Rosado,Cabernet Sauvignon (100%),13.00,13.0,"
Cere"
Pirineos Mesache Blanco,Bodega Pirineos,España,Aragón,Somontano,2004,Blanco,"Gewürztraminer, Macabeo, Chardonnay",13.00,12.5,4.80 
Viñas del Vero Chardonnay,Viñas del Vero,España,Aragón,Somontano,2004,Blanco,Chardonnay,13.50,12.5,"
Amar"
Viñas del Vero Joven Cabernet Sauvignon-Merlot,Viñas del Vero,España,Aragón,Somontano,2004,Tinto,"Cabernet Sauvignon, Merlot",13.00,12.5,"
Gran"
Mascun Merlot,Bodegas Borruel (Osca),España,Aragón,Somontano,2002,Tinto,Merlot (100%),13.00,12.5,18.00
Laura Lalanne Blanco,Bodegas Lalanne,España,Aragón,Somontano,Tipo:  Blanco,Castas: Otras,Alcohol: 12.00º,Consumo óptimo: De 2005 a 2006.,11.5,"
Amar"
Castillo de Monesma Joven,Dalcamp,España,Aragón,Somontano,2004,Tinto,Otras,Consumo óptimo: De 2005 a 2006.,11.5,4.00 
Olvena Coupage,Bodegas y Viñedos Olvena,España,Aragón,Somontano,2002,Tinto,"Tempranillo (50%), Cabernet Sauvignon (35%), Merlot (15%)",13.00,11.5,6.00 
Olvena Chardonnay,Bodegas y Viñedos Olvena,España,Aragón,Somontano,2004,Blanco,Chardonnay (100%),11.50,11.0,5.00 
Osca Blanco,Bodegas Borruel (Osca),España,Aragón,Somontano,2004,Blanco,"Macabeo, Garnacha Blanca",12.50,11.0,3.00 
Viñas del Vero Colección Gewürtraminer,Viñas del Vero,España,Aragón,Somontano,2004,Blanco,Gewürztraminer,13.00,11.0,"
Amar"
Fábregas Rosado,Bodegas Fábregas,España,Aragón,Somontano,2004,Rosado,"Tempranillo, Cabernet Sauvignon",13.00,11.0,4.00 
Viña San Marcos,Bodegas Lalanne,España,Aragón,Somontano,2004,Rosado,Otras,12.00,11.0,"
Rosa"
Osca Rosado,Bodegas Borruel (Osca),España,Aragón,Somontano,2004,Rosado,"Tempranillo, Moristel",12.50,11.0,3.50 
Fábregas Blanco,Bodegas Fábregas,España,Aragón,Somontano,2004,Blanco,Chardonnay (100%),13.00,10.0,4.00 
