Wine,Winery,Country,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
Casa Gualda Selección C&J,S. Coop. Ntra. Sra. de La Cabeza,España,Castilla La Mancha,La Mancha,1998,Tinto,Cencibel (100%),,15.0,7.20 
Solar de Urbezo Crianza,Bodegas Solar de Urbezo,España,Aragón,Cariñena,1996,Tinto,"Cabernet Sauvignon (40%), Merlot (40%), Tempranillo (20%)",,16.0,4.80 
Castaño Macabeo,Bodegas Castaño,España,Murcia,Yecla,1999,Blanco,"Macabeo (60%), Chardonnay (40%)",,15.5,3.60 
Marqués de Griñón Tempranillo Colección Privada,Marqués de Griñón,España,La Rioja (España),Rioja,1996,Tinto,Tempranillo (100%),,15.5,4.20 
Godeval Fermentado en Barrica,Godeval S.A.T.,España,Galicia,Valdeorras,1996,Blanco,Godello (100%),,15.0,6.50 
Grans Muralles,Familia Torres,España,Cataluña,Conca de Barberà,1997,Tinto,"Syrah (-1%), Garró (-1%), Garnacha (-1%), Monastrell (-1%), Cariñena (-1%)",,17.5,72.00
Pirineos Merlot-Cabernet,Bodega Pirineos,España,Aragón,Somontano,1997,Tinto,"Merlot (50%), Cabernet Sauvignon (50%)",,15.5,5.70 
Pérez Pascuas Gran Reserva,Bodegas Hnos. Pérez Pascuas,España,Castilla y León,Ribera del Duero,1994,Tinto,Tinto Fino (100%),,18.5,72.00
Montesierra Crianza,Bodega Pirineos,España,Aragón,Somontano,1997,Tinto,"Cabernet Sauvignon, Tempranillo, Moristel",,15.5,5.10 
Clos de l'Obac,Costers del Siurana,España,Cataluña,Priorat,1995,Tinto,"Syrah, Cariñena, Merlot, Cabernet Sauvignon, Garnacha",,17.0,27.00
Masia Gironella Cabernet,Masía Gironella,España,Cataluña,Otros Cataluña,1997,Tinto,Cabernet Sauvignon (100%),,15.5,12.00
Marqués de Arienzo Reserva,Bodegas Domecq,España,La Rioja (España),Rioja,1991,Tinto,"Tempranillo (95%), Otras (5%)",,14.5,12.00
Gran Coronas,Familia Torres,España,Cataluña,Penedès,1996,Tinto,"Cabernet Sauvignon (85%), Tempranillo (15%)",,16.0,10.80
Lusco,Adega Pazos de Lusco,España,Galicia,Rías Baixas,1996,Blanco,Albariño (100%),13.00,17.0,7.00 
Gaudium,Unión Viti-Vinicola (Marqués de Cáceres),España,La Rioja (España),Rioja,1994,Tinto,"Tempranillo (90%), Graciano (5%), Garnacha (5%)",,16.0,48.00
Marqués de Alella Clásico,Parxet,España,Cataluña,Alella,1999,Blanco,Pansa Blanca (100%),,15.5,5.00 
Marqués de Velilla Crianza,Grandes Bodegas,España,Castilla y León,Ribera del Duero,1995,Tinto,Tinto Fino (100%),,17.0,10.22
Viña Mayor Gran Reserva Especial,Hijos de Antonio Barceló (Viña Mayor),España,Castilla y León,Ribera del Duero,1989,Tinto,Tempranillo (100%),,14.5,18.00
Allozo Tempranillo Gran Reserva,Bodegas Centro Españolas,España,Castilla La Mancha,La Mancha,1992,Tinto,Tempranillo (100%),,16.0,5.40 
Martínez Bujanda Garnacha,Bodegas Valdemar,España,La Rioja (España),Rioja,1994,Tinto,Garnacha (100%),,15.0,15.02
Viñas del Vero Merlot,Viñas del Vero,España,Aragón,Somontano,1994,Tinto,Merlot (100%),,16.0,6.01 
Jean Leon Merlot,Jean Leon,España,Cataluña,Penedès,1995,Tinto,Merlot (100%),,14.5,10.82
Urbezo Chardonnay,Bodegas Solar de Urbezo,España,Aragón,Cariñena,1999,Blanco,Chardonnay (100%),,15.5,6.00 
Artadi Viñas de Gain Blanco,Artadi,España,La Rioja (España),Rioja,1994,Blanco,"Malvasia (50%), Viura (50%)",,16.5,5.00 
Castillo de Maluenda Garnacha Selección,,España,Aragón,Calatayud,1996,Tinto,Garnacha (100%),,14.5,3.00 
Balbás Crianza,Bodegas Balbás,España,Castilla y León,Ribera del Duero,1996,Tinto,"Tempranillo (90%), Cabernet Sauvignon (10%)",,15.5,11.40
Allozo Tempranillo Crianza,Bodegas Centro Españolas,España,Castilla La Mancha,La Mancha,1995,Tinto,Tempranillo (100%),,14.5,3.90 
